property_id,zip_code,school_district,sqft,bedrooms,bathrooms,age_years,garage_spaces,price
P00123,10020,10,1650.3,6,2,39,3,423671.57
P00124,10015,11,1451.7,2,3,68,1,326266.69
P00125,10026,2,2014.2,2,4,70,3,291151.87
P00126,10017,12,1917.3,2,2,4,2,354558.22
P00127,10003,4,1004.7,5,1,67,2,202428.8
P00128,10023,8,974.2,5,1,72,1,207356.25
P00129,10018,11,2012.3,3,2,76,1,472693.74
P00130,10020,10,1392.4,1,1,21,3,311974.74
P00131,10017,5,1951.0,4,1,40,0,281008.36
P00132,10017,6,2190.5,5,3,3,2,456279.81
P00133,10003,8,1164.5,3,4,8,3,210406.86
P00134,10017,1,1094.2,2,1,45,2,161218.43
P00135,10024,11,2637.2,4,3,16,0,598509.33
P00136,10010,2,1975.8,4,3,18,2,384471.22
P00137,10019,7,1590.4,4,3,24,0,365748.64
P00138,10001,10,1333.0,6,4,37,3,397125.04
P00139,10011,2,1544.8,2,4,12,1,370705.95
P00140,10014,15,1204.7,4,2,64,1,241841.14
P00141,10030,6,2241.7,6,4,54,3,512869.0
P00142,10007,1,1411.6,2,1,64,1,247225.77
P00143,10009,10,2346.8,2,4,75,0,419435.86
P00144,10013,9,1599.7,1,1,48,3,306671.52
P00145,10030,10,1278.3,3,1,29,2,269872.94
P00146,10026,12,1586.8,1,1,79,2,170889.8
P00147,10002,8,800.0,5,1,45,0,91656.77
P00148,10008,13,1739.6,1,2,37,1,318892.34
P00149,10025,6,1714.9,5,3,33,1,490368.11
P00150,10002,9,2212.4,4,3,3,1,401143.3
P00151,10026,3,856.8,6,1,77,2,169832.84
P00152,10009,10,2380.9,3,2,66,0,415481.27
P00153,10028,4,2210.3,3,1,56,1,472423.39
P00154,10009,11,2426.0,2,1,17,3,463442.8
P00155,10014,13,1773.6,4,3,75,2,382393.2
P00156,10020,13,2306.9,2,3,14,1,481581.18
P00157,10004,14,1064.4,1,1,19,0,276388.84
P00158,10017,2,2156.5,6,2,5,0,386043.48
P00159,10016,3,1414.4,5,4,23,1,234973.16
P00160,10024,14,974.3,1,3,26,0,309132.84
P00161,10030,6,1237.9,4,1,64,0,256361.07
P00162,10020,1,1802.8,2,4,26,3,321588.61
P00163,10013,5,1387.9,2,1,77,3,179013.03
P00164,10013,13,1988.0,3,2,24,2,390199.27
P00165,10013,6,895.9,5,3,42,3,249720.1
P00166,10025,2,800.0,1,3,48,1,205954.39
P00167,10010,11,2486.2,3,1,67,2,465885.28
P00168,10006,3,2251.9,6,4,60,3,404705.1
P00169,10011,6,1275.4,3,1,70,0,347700.99
P00170,10001,1,1798.5,1,3,75,1,293614.12
P00171,10004,10,2309.8,3,2,9,0,507584.4
P00172,10003,7,2009.6,5,4,7,3,367180.01
P00173,10024,14,1874.1,6,4,36,3,548649.15
P00174,10022,6,2347.6,4,4,12,2,588951.67
P00175,10021,4,1434.6,1,4,39,2,350235.14
P00176,10014,3,1815.6,5,3,47,1,337252.14
P00177,10022,4,1791.1,5,1,22,0,475793.58
P00178,10005,7,1663.6,4,3,7,3,350609.4
P00179,10028,2,1605.1,6,2,78,3,343011.8
P00180,10016,7,1836.4,5,3,30,3,302595.55
P00181,10029,13,1817.2,2,1,67,1,301892.36
P00182,10005,12,1275.8,3,3,50,0,284436.25
P00183,10015,10,2200.9,4,2,53,2,430480.43
P00184,10021,14,1311.8,3,3,63,0,293647.47
P00185,10015,12,1690.9,4,2,21,0,336386.88
P00186,10014,10,1652.4,5,2,17,3,312541.74
P00187,10005,13,1979.1,1,1,80,3,422243.21
P00188,10012,2,800.0,4,4,54,1,227101.01
P00189,10008,13,2245.5,1,1,23,2,412659.35
P00190,10010,5,1461.5,4,1,52,2,258146.56
P00191,10021,11,2410.0,3,2,31,0,494719.26
P00192,10019,14,1560.9,2,1,69,0,355380.25
P00193,10019,8,1775.6,6,4,41,1,392560.49
P00194,10011,2,2756.9,2,2,25,3,533814.26
P00195,10029,6,1661.3,1,1,55,1,260635.12
P00196,10003,7,2419.4,3,2,60,2,293115.28
P00197,10011,15,1819.5,5,1,30,0,449619.03
P00198,10004,15,2007.7,1,3,60,3,422613.42
P00199,10011,9,1835.0,3,2,18,3,471829.87
P00200,10029,15,2223.9,3,1,19,1,371031.19
P00201,10011,7,1457.2,6,4,66,0,384233.72
P00202,10028,7,1308.0,1,3,50,3,262468.49
P00203,10015,13,1480.7,1,2,2,3,348223.19
P00204,10021,11,1849.9,4,3,54,2,416148.47
P00205,10014,8,1689.6,2,3,24,1,255045.53
P00206,10008,7,2155.1,5,1,22,2,351688.73
P00207,10023,11,2452.4,2,4,34,1,524175.19
P00208,10030,12,1312.1,4,2,36,2,266372.49
P00209,10008,8,1433.0,1,1,72,3,196284.47
P00210,10024,1,1081.9,5,3,35,1,272843.1
P00211,10008,2,2815.2,4,4,24,0,471891.12
P00212,10022,3,1952.3,1,3,62,2,409546.29
P00213,10024,7,2039.9,2,2,43,3,422501.5
P00214,10014,10,1129.9,1,2,0,0,204971.59
P00215,10023,13,1799.4,1,3,51,3,374483.36
P00216,10009,4,2054.6,5,1,40,1,442806.92
P00217,10003,12,1673.6,3,4,46,2,264164.56
P00218,10003,10,2337.9,5,2,14,2,429376.38
P00219,10014,1,2955.9,2,1,38,0,413080.68
P00220,10028,6,1326.5,5,1,52,0,349770.41
P00221,10004,5,1289.0,4,3,54,3,315339.04
P00222,10014,14,1361.1,4,1,55,2,284436.83
P00223,10022,14,2603.1,5,4,80,2,596499.26
P00224,10007,13,2321.2,5,4,40,1,546837.66
P00225,10022,8,1732.2,5,1,34,0,376974.14
P00226,10010,8,1818.3,5,1,43,1,329636.07
P00227,10025,5,1391.7,3,4,26,2,380389.79
P00228,10018,12,2245.0,5,1,25,2,512908.73
P00229,10017,2,1610.0,6,2,55,1,291358.94
P00230,10006,5,1670.0,5,4,25,0,308830.09
P00231,10014,3,2104.4,4,1,60,0,316700.72
P00232,10026,8,1706.0,1,3,60,3,268497.49
P00233,10001,5,1682.5,3,2,77,2,292669.79
P00234,10023,3,1805.3,1,2,10,3,383461.14
P00235,10015,6,2197.7,1,4,29,0,450744.94
P00236,10022,13,2623.2,3,3,62,1,552318.13
P00237,10020,9,2092.7,3,2,34,1,435736.6
P00238,10013,13,2201.7,4,4,53,1,436645.48
P00239,10010,14,1700.1,6,3,59,1,393588.48
P00240,10019,14,1446.1,5,1,71,0,385957.81
P00241,10005,6,2127.0,3,2,18,0,431304.0
P00242,10018,14,1885.6,3,1,21,3,493578.48
P00243,10003,14,1088.7,5,3,38,1,230137.73
P00244,10020,15,1636.0,2,4,41,0,346533.1
P00245,10019,6,1758.6,6,1,73,1,456346.18
P00246,10003,4,1544.8,5,4,3,3,365628.1
P00247,10023,9,2540.9,5,4,19,1,533758.93
P00248,10013,14,2039.9,2,4,73,3,405346.4
P00249,10024,14,2486.6,4,3,49,0,545763.46
P00250,10002,9,1931.7,5,2,54,0,309289.79
P00251,10006,3,1840.7,1,1,20,2,274990.6
P00252,10015,7,1331.7,2,4,50,2,243792.83
P00253,10006,11,1806.0,4,2,29,3,391230.46
P00254,10010,9,1806.5,3,2,59,1,353710.76
P00255,10020,6,1116.4,5,3,7,0,325127.26
P00256,10005,6,1530.2,3,3,23,2,367587.71
P00257,10021,1,1638.4,6,4,52,1,344381.05
P00258,10004,5,2006.7,2,4,48,0,370280.84
P00259,10006,11,2030.7,3,4,68,0,387635.61
P00260,10018,4,1509.3,1,1,64,2,379092.88
P00261,10024,15,2034.4,2,1,1,2,482253.2
P00262,10006,2,1709.0,2,1,7,0,238860.0
P00263,10009,9,800.0,5,3,28,2,262336.35
P00264,10028,8,1557.6,3,3,77,3,354177.16
P00265,10030,13,2339.5,2,4,38,3,485431.02
P00266,10018,14,959.1,2,4,72,1,322934.41
P00267,10014,9,1856.3,4,4,4,0,370254.62
P00268,10011,10,2592.6,5,1,78,2,588342.21
P00269,10019,11,1419.7,6,3,4,2,441853.36
P00270,10018,8,1801.1,1,4,65,3,402818.54
P00271,10009,3,1148.0,6,4,71,2,273322.02
P00272,10001,7,2613.6,3,2,23,2,465384.14
P00273,10005,4,1758.3,5,4,24,2,461209.19
P00274,10029,7,1823.3,1,2,47,2,225199.38
P00275,10013,10,2477.2,4,1,58,1,423592.08
P00276,10015,4,2130.7,6,2,9,1,487773.42
P00277,10015,4,1362.2,1,2,19,1,342902.81
P00278,10024,13,1476.4,5,4,61,1,455807.28
P00279,10002,6,2047.5,1,1,65,3,328226.69
P00280,10003,3,1487.9,6,1,12,1,262463.52
P00281,10009,11,800.0,5,3,72,1,274632.73
P00282,10015,11,1773.4,6,3,70,3,407793.46
P00283,10021,13,1059.9,6,3,70,0,296426.94
P00284,10015,12,2608.1,2,1,19,1,402668.07
P00285,10014,15,1888.4,3,2,54,1,347133.72
P00286,10029,9,1347.4,5,4,12,1,306304.61
P00287,10005,5,1450.7,2,1,15,1,242094.91
P00288,10018,13,855.3,2,4,5,3,377445.08
P00289,10017,4,1250.3,1,1,39,1,239205.96
P00290,10015,5,2308.2,6,1,57,1,382742.04
P00291,10025,13,2915.9,2,4,16,1,652220.31
P00292,10009,14,2163.2,3,2,15,3,483831.73
P00293,10029,6,1754.0,3,3,22,3,339446.77
P00294,10010,11,1584.0,3,2,16,0,360669.44
P00295,10017,14,1321.8,5,3,67,0,311666.3
P00296,10016,12,2829.9,6,2,13,0,462375.24
P00297,10026,1,1705.6,4,2,22,1,246471.77
P00298,10014,10,2857.8,6,4,24,2,561693.64
P00299,10009,3,2496.8,1,3,16,0,404824.59
P00300,10001,13,929.6,6,3,76,2,342962.45
P00301,10011,2,1467.0,1,4,16,1,338075.95
P00302,10025,15,1465.5,1,2,39,3,379059.05
P00303,10001,3,1760.1,1,4,45,2,368205.57
P00304,10027,7,1769.8,2,3,21,1,240237.0
P00305,10017,4,3298.1,6,4,38,2,657470.9
P00306,10005,13,1261.4,2,2,13,0,305297.45
P00307,10010,6,1914.5,5,3,39,1,462418.29
P00308,10017,12,2108.3,3,1,1,1,394960.55
P00309,10010,2,1799.2,1,1,35,0,267775.63
P00310,10004,7,1855.1,3,1,29,1,368378.27
P00311,10020,14,1277.6,2,3,28,2,326928.92
P00312,10021,14,1853.2,2,2,8,2,401523.11
P00313,10004,4,2055.7,4,2,80,3,492641.52
P00314,10009,6,1963.8,5,3,2,1,445260.01
P00315,10008,7,2085.1,4,2,11,2,323943.87
P00316,10020,9,2506.3,2,1,8,2,479709.69
P00317,10022,9,2268.5,5,3,79,3,527456.61
P00318,10022,2,1835.6,5,3,25,3,448691.54
P00319,10029,12,1214.1,2,1,34,2,177130.06
P00320,10024,4,1500.0,6,2,60,1,435634.94
P00321,10010,5,1690.2,6,1,4,2,347160.91
P00322,10004,13,1926.2,4,3,5,2,514665.44
P00323,10019,11,1560.8,2,1,14,3,435839.45
P00324,10028,6,1332.1,3,1,54,0,333723.09
P00325,10030,14,1205.9,3,2,79,3,269639.78
P00326,10007,6,974.4,2,2,50,3,303484.34
P00327,10008,9,1682.5,2,4,70,0,261772.84
P00328,10002,4,1065.2,1,1,71,1,198006.82
P00329,10005,3,1299.7,1,4,22,0,268782.51
P00330,10017,8,1603.0,5,2,14,2,343738.58
P00331,10017,9,1132.0,1,2,12,0,201654.1
P00332,10012,13,1989.9,3,1,64,1,439862.58
P00333,10010,6,2170.1,3,2,54,0,419961.24
P00334,10025,14,1525.3,1,2,70,0,380855.61
P00335,10014,10,1581.5,5,3,41,1,326395.53
P00336,10025,2,2068.7,6,4,79,1,467669.33
P00337,10029,12,1443.0,4,3,72,2,226203.32
P00338,10010,9,1408.6,5,1,65,0,267718.84
P00339,10007,6,2398.2,2,2,65,1,488555.79
P00340,10029,8,2242.1,6,3,10,3,391171.64
P00341,10020,5,2100.8,5,3,60,3,373585.28
P00342,10009,10,2262.8,3,3,76,1,397529.31
P00343,10019,9,811.4,5,3,23,0,303944.21
P00344,10016,7,2476.9,6,3,66,3,409900.69
P00345,10028,5,1996.0,4,4,28,2,432128.26
P00346,10008,6,2305.4,2,3,17,1,451663.0
P00347,10030,8,1993.6,2,3,59,2,334794.3
P00348,10029,8,1824.5,2,2,13,0,270768.6
P00349,10006,5,1662.3,2,2,38,1,269499.33
P00350,10005,9,1983.6,6,3,75,1,409813.96
P00351,10016,4,1644.1,2,4,12,2,317642.35
P00352,10002,8,2233.9,6,4,12,0,375805.12
P00353,10009,2,1006.8,2,3,76,1,176808.23
P00354,10014,8,1529.2,3,4,62,3,258656.12
P00355,10030,12,2822.4,4,1,37,0,469843.7
P00356,10030,13,1487.0,1,2,32,0,300375.74
P00357,10005,11,1680.7,2,1,78,3,375413.37
P00358,10027,12,1358.7,2,3,58,3,224772.95
P00359,10003,1,1967.9,1,4,73,1,254249.86
P00360,10023,6,1431.9,5,1,7,0,362820.42
P00361,10026,10,1707.2,4,1,42,2,288915.01
P00362,10027,13,2224.4,6,2,58,1,412761.44
P00363,10007,9,1450.6,6,4,2,2,413439.17
P00364,10027,13,2194.3,3,1,41,0,401262.96
P00365,10004,5,2211.1,5,4,4,3,481222.19
P00366,10016,3,2327.5,1,1,72,2,304987.83
P00367,10015,2,1870.3,3,2,55,2,322698.59
P00368,10010,9,3420.6,4,3,15,2,656423.36
P00369,10001,10,2327.3,3,3,42,0,431880.67
P00370,10024,5,1962.4,5,4,8,3,483019.0
P00371,10011,12,1362.0,6,1,65,1,348486.46
P00372,10020,12,1751.5,3,1,15,1,324745.25
P00373,10013,6,2513.2,2,2,49,3,450809.52
P00374,10012,4,2654.8,4,3,6,0,626162.14
P00375,10027,12,2539.2,6,2,12,0,438881.47
P00376,10003,11,2192.6,6,3,79,3,418517.99
P00377,10023,3,1172.2,5,2,31,1,262849.78
P00378,10023,4,2043.6,2,4,9,2,457595.33
P00379,10012,8,1179.3,2,1,56,2,280151.34
P00380,10008,8,1056.3,4,3,16,3,207003.17
P00381,10001,3,1919.6,3,3,47,2,384144.25
P00382,10029,15,2061.6,4,1,65,1,379589.55
P00383,10029,6,2251.7,6,3,55,2,445369.62
P00384,10008,6,2048.6,4,1,19,2,415775.09
P00385,10001,1,2065.8,3,3,19,1,366780.52
P00386,10004,14,1307.7,6,3,18,0,395565.77
P00387,10003,4,1747.5,3,1,51,1,311178.75
P00388,10025,15,1046.4,4,1,54,3,335126.11
P00389,10027,8,800.0,1,2,42,0,101564.23
P00390,10005,14,2170.3,4,4,32,0,485709.02
P00391,10023,3,1423.4,3,1,5,3,366972.02
P00392,10006,3,2236.2,1,4,67,3,345193.16
P00393,10012,13,2354.2,2,3,53,0,520608.89
P00394,10018,13,1490.3,5,4,51,0,428262.72
P00395,10022,9,2095.2,2,4,8,2,519573.04
P00396,10027,1,1469.4,1,2,23,3,202287.23
P00397,10002,15,877.1,1,3,24,2,146920.43
P00398,10006,6,1861.7,1,3,48,3,342997.02
P00399,10009,15,1564.6,3,1,63,2,327971.56
P00400,10010,14,1580.0,3,3,70,3,378866.03
P00401,10030,13,2787.7,4,2,42,2,514071.83
P00402,10024,11,1037.1,4,1,29,1,347044.35
P00403,10010,11,1991.4,4,4,33,2,483733.97
P00404,10030,8,1302.6,6,2,59,1,251334.03
P00405,10015,1,2254.1,2,4,25,2,382653.09
P00406,10016,6,1949.2,5,1,33,3,380700.28
P00407,10014,11,1989.7,1,3,63,3,358291.52
P00408,10005,13,1327.6,6,2,43,2,362469.87
P00409,10029,9,1417.2,3,4,37,0,256195.55
P00410,10001,11,2263.6,3,4,59,2,520501.01
P00411,10006,1,2685.4,1,4,23,1,411294.3
P00412,10007,8,2040.2,4,4,4,0,450264.24
P00413,10009,8,1351.3,3,4,63,3,266778.55
P00414,10004,14,1969.5,6,2,36,1,521688.18
P00415,10001,5,3013.7,2,4,26,3,537970.5
P00416,10021,4,1851.2,3,3,7,1,434784.75
P00417,10030,6,2530.9,6,2,75,2,508897.38
P00418,10004,3,1429.8,5,1,58,2,367944.27
P00419,10009,9,1779.0,5,3,22,3,405044.87
P00420,10016,10,2109.8,4,2,49,0,322458.65
P00421,10028,13,1998.7,6,3,37,2,534766.18
P00422,10021,15,1416.8,2,1,26,1,314134.81
P00423,10023,2,1395.2,5,3,25,1,302504.14
P00424,10018,4,2294.1,4,3,6,3,574419.16
P00425,10013,5,2395.8,3,3,78,0,362801.67
P00426,10006,4,2556.1,2,3,74,2,430600.88
P00427,10026,13,2702.0,4,4,70,1,446828.06
P00428,10025,3,1867.3,1,4,25,3,431389.07
P00429,10001,1,1644.4,5,2,80,0,297523.75
P00430,10022,13,2475.5,2,4,22,0,549554.64
P00431,10003,15,2156.5,3,4,66,0,347525.49
P00432,10023,4,1308.8,2,1,8,1,332899.27
P00433,10025,5,1283.2,3,2,25,0,294308.65
P00434,10004,8,2046.0,3,3,46,2,456454.43
P00435,10014,8,1711.4,2,3,78,0,254106.78
P00436,10004,15,1786.8,6,1,21,1,468039.87
P00437,10018,7,2336.3,5,2,35,2,465794.89
P00438,10028,1,2179.5,3,2,68,2,368617.19
P00439,10003,7,2464.9,1,3,38,0,317580.85
P00440,10012,9,834.2,6,3,55,0,332792.42
P00441,10030,8,1926.7,5,1,33,1,322808.05
P00442,10010,8,2147.3,4,1,0,2,402082.81
P00443,10004,14,1036.7,4,2,22,3,343803.86
P00444,10015,13,1472.6,1,1,45,0,275264.02
P00445,10016,4,1379.8,3,4,1,0,288582.18
P00446,10020,6,1810.8,2,2,18,2,387809.74
P00447,10010,11,2613.9,4,3,77,3,505703.88
P00448,10029,7,2811.3,6,1,1,3,443131.04
P00449,10016,7,1392.9,4,2,20,2,171184.95
P00450,10009,3,2063.3,4,4,50,0,383272.02
P00451,10029,4,2079.4,5,3,45,2,426904.41
P00452,10028,12,1993.8,6,2,16,1,457394.15
P00453,10015,13,1999.5,1,3,4,1,397946.37
P00454,10001,12,1951.9,2,3,72,1,373968.93
P00455,10018,5,2643.8,2,1,44,2,494787.43
P00456,10017,3,2351.2,5,4,46,2,432767.75
P00457,10005,3,1269.9,3,4,4,0,290842.26
P00458,10020,6,2197.9,5,3,16,0,473513.89
P00459,10026,8,2246.2,3,1,5,0,324550.94
P00460,10004,14,1957.5,6,2,79,1,504205.51
P00461,10022,14,2365.7,5,3,62,2,587636.04
P00462,10005,1,1894.0,1,4,44,3,331816.06
P00463,10023,11,1900.2,6,3,55,1,466633.51
P00464,10013,5,1860.6,6,1,13,2,312721.43
P00465,10001,3,800.0,1,3,80,3,196430.68
P00466,10029,9,1759.8,3,1,41,2,285477.39
P00467,10005,1,1465.9,6,2,41,2,317288.7
P00468,10018,6,1206.8,6,3,77,1,431117.89
P00469,10006,9,2517.0,3,3,7,0,436756.48
P00470,10028,5,2052.1,4,2,34,3,456692.32
P00471,10023,9,1785.1,1,2,7,2,381147.84
P00472,10025,7,1517.6,4,4,34,0,351012.61
P00473,10013,12,1948.1,4,3,21,1,339829.92
P00474,10015,3,2295.7,3,1,37,0,414266.76
P00475,10020,1,1386.5,2,3,56,3,256123.84
P00476,10024,8,1797.6,5,3,22,2,431751.58
P00477,10026,4,2234.0,3,3,4,3,428728.01
P00478,10001,11,832.0,2,3,13,1,286649.42
P00479,10020,2,1771.2,3,1,57,0,290713.13
P00480,10004,9,1585.4,3,4,46,2,408423.03
P00481,10009,15,1733.1,2,4,79,2,364776.5
P00482,10025,2,1549.2,4,1,72,0,314533.0
P00483,10008,5,1868.8,6,1,13,2,337900.01
P00484,10024,13,2761.8,5,1,59,0,597469.36
P00485,10014,9,1638.0,2,4,7,2,327049.79
P00486,10007,3,1945.9,3,4,7,2,449864.56
P00487,10011,4,2797.4,4,2,64,0,581592.02
P00488,10016,12,1525.0,5,3,32,1,218118.08
P00489,10023,13,2707.3,5,1,80,0,530805.37
P00490,10019,6,1802.7,3,1,0,2,449359.55
P00491,10028,8,2690.9,2,1,40,0,447705.15
P00492,10027,12,2175.1,4,1,24,2,324644.97
P00493,10023,3,1953.6,1,4,79,1,372103.54
P00494,10019,4,1767.2,5,4,54,0,473363.87
P00495,10009,12,1488.0,6,1,62,3,305742.35
P00496,10013,3,1837.9,5,3,23,2,386542.77
P00497,10004,12,2248.7,3,1,72,1,440769.02
P00498,10012,8,1793.4,5,3,68,3,443516.86
P00499,10028,15,1641.7,4,4,63,2,389946.7
P00500,10013,1,1674.6,4,4,38,3,277207.58
P00501,10004,15,2296.2,6,4,74,0,529286.65
P00502,10020,4,2412.6,2,1,54,0,460984.07
P00503,10029,1,1466.4,5,1,5,0,237611.47
P00504,10027,11,1465.7,5,1,71,2,267721.15
P00505,10009,8,1989.7,4,1,1,3,389678.38
P00506,10014,13,2563.8,1,3,55,3,480044.68
P00507,10016,2,2373.0,5,3,20,3,399995.95
P00508,10008,2,1174.1,2,4,72,2,177956.94
P00509,10009,9,1668.0,6,1,59,2,363019.73
P00510,10008,14,1334.7,5,2,65,1,283566.06
P00511,10030,7,1666.2,3,3,56,0,249753.78
P00512,10023,12,2602.2,3,3,45,0,449416.92
P00513,10026,14,1088.7,1,2,69,0,154432.02
P00514,10025,14,990.6,3,1,24,2,345595.29
P00515,10029,8,1385.7,1,2,42,2,181590.82
P00516,10004,11,1943.7,6,1,24,3,504091.29
