company_id,founding_year,industry,employees,initial_funding_usd,marketing_spend_pct,revenue_growth_pct
CO00047,2022,healthcare,17,679716,24.9,58.54
CO00048,2018,healthcare,65,756942,3.3,37.55
CO00049,2011,healthcare,34,1680268,14.35,27.16
CO00050,2018,tech,27,24214352,20.48,46.41
CO00051,2019,healthcare,109,93502,14.53,31.24
CO00052,2018,services,6,139124,10.2,37.61
CO00053,2021,tech,17,11046354,20.51,45.61
CO00054,2016,manufacturing,114,2894281,19.83,29.43
CO00055,2024,manufacturing,206,2191644,17.49,12.34
CO00056,2016,services,326,135979,15.85,24.12
CO00057,2024,tech,35,4204964,21.17,55.45
CO00058,2010,manufacturing,52,2205281,12.09,38.18
CO00059,2013,services,75,646335,2.06,31.05
CO00060,2022,services,119,137330,16.12,25.96
CO00061,2022,services,45,547649,21.7,51.85
CO00062,2023,services,84,11958749,8.97,34.22
CO00063,2019,services,52,49615,4.22,34.19
CO00064,2017,tech,56,89357,27.36,45.22
CO00065,2024,services,13,126045,25.91,42.25
CO00066,2016,retail,24,194533,18.55,26.52
CO00067,2020,manufacturing,20,428705,23.6,34.14
CO00068,2020,manufacturing,10,3009071,29.06,43.46
CO00069,2020,healthcare,6,1113287,17.08,41.05
CO00070,2023,retail,22,499659,7.33,24.12
CO00071,2024,retail,25,769877,19.16,37.7
CO00072,2017,services,37,1541061,27.44,37.74
CO00073,2020,services,58,15315,20.7,22.45
CO00074,2017,retail,40,3772197,0.79,29.79
CO00075,2016,retail,26,84725,27.51,35.47
CO00076,2019,healthcare,13,182221,22.61,44.29
CO00077,2019,healthcare,80,874030,12.05,43.41
CO00078,2024,tech,30,380479,29.62,59.32
CO00079,2015,retail,21,1171576,21.65,35.47
CO00080,2024,services,27,587514,24.76,33.26
CO00081,2023,tech,16,248037,28.29,48.3
CO00082,2020,tech,19,9412191,1.19,48.78
CO00083,2021,tech,19,1823249,23.23,54.25
CO00084,2024,manufacturing,25,809550,11.59,21.72
CO00085,2021,manufacturing,64,1767434,26.07,26.46
CO00086,2013,retail,50,107941,26.37,40.03
CO00087,2020,tech,156,34261864,24.86,50.24
CO00088,2021,services,111,50247,23.38,41.26
CO00089,2011,healthcare,234,554785,23.83,45.46
CO00090,2016,retail,58,249483,8.9,24.54
CO00091,2023,services,57,231230,12.2,41.24
CO00092,2018,services,20,178347,3.45,31.54
CO00093,2018,manufacturing,76,94521,24.92,30.31
CO00094,2021,manufacturing,17,4764410,19.38,14.95
CO00095,2020,tech,8,39759,18.38,38.81
CO00096,2016,healthcare,152,3163304,7.38,28.24
CO00097,2019,healthcare,9,1618605,18.45,43.47
CO00098,2018,services,51,206533,13.64,35.38
CO00099,2019,healthcare,14,1283645,29.86,52.49
CO00100,2019,services,102,322610,25.89,41.37
CO00101,2021,services,117,48922,15.78,25.69
CO00102,2021,healthcare,56,49967,24.25,48.4
CO00103,2014,tech,115,1641109,4.94,54.52
CO00104,2023,retail,33,1479390,3.04,24.42
CO00105,2024,retail,309,717854,18.92,17.97
CO00106,2018,services,70,202190,21.8,32.28
CO00107,2024,retail,13,302288,1.59,26.1
CO00108,2016,retail,36,230704,6.03,22.19
CO00109,2017,manufacturing,28,13441,16.12,9.5
CO00110,2021,services,26,500071,1.88,18.99
CO00111,2010,manufacturing,6,1257844,12.72,36.14
CO00112,2020,tech,49,506468,14.46,56.29
CO00113,2016,services,8,15222700,27.65,61.15
CO00114,2024,manufacturing,5,59330,9.47,24.53
CO00115,2017,tech,23,117923,5.06,32.7
CO00116,2022,services,16,577254,0.23,26.89
CO00117,2024,retail,14,720379,3.65,15.52
CO00118,2018,manufacturing,5,10000,22.53,14.88
CO00119,2022,healthcare,14,1476811,13.35,45.2
CO00120,2023,retail,28,726965,5.96,32.37
CO00121,2018,healthcare,18,10000,27.99,59.99
CO00122,2019,manufacturing,49,350312,23.63,29.51
CO00123,2020,healthcare,133,87808,3.43,19.19
CO00124,2020,healthcare,55,178680,8.07,35.37
CO00125,2020,healthcare,92,30448,25.48,39.19
CO00126,2024,retail,100,1017009,20.77,29.05
CO00127,2021,services,12,14999880,28.37,51.28
CO00128,2019,retail,51,751665,2.29,15.63
CO00129,2023,healthcare,90,10000,23.26,40.13
CO00130,2024,healthcare,21,783238,2.29,41.8
CO00131,2013,services,15,299755,10.1,45.94
CO00132,2022,healthcare,56,48921,22.52,44.46
CO00133,2016,manufacturing,8,897391,21.33,40.14
CO00134,2024,tech,11,2570290,0.06,38.75
CO00135,2024,healthcare,17,116193,6.06,33.91
CO00136,2019,manufacturing,52,16523,23.36,37.04
CO00137,2023,tech,41,10000,3.78,25.33
CO00138,2024,tech,93,116848,9.79,36.95
CO00139,2024,services,13,324160,5.52,41.49
CO00140,2017,healthcare,12,157627,3.34,33.86
CO00141,2024,services,56,112807,25.1,36.99
CO00142,2024,manufacturing,15,1377525,1.84,20.16
CO00143,2023,retail,18,1116436,16.08,34.97
CO00144,2023,manufacturing,5,659466,20.78,39.96
CO00145,2023,retail,44,2264751,1.73,34.06
CO00146,2011,retail,155,119060,19.0,27.42
CO00147,2017,tech,12,49557,10.02,51.24
CO00148,2019,manufacturing,92,155644,25.01,30.91
CO00149,2016,retail,31,135590,23.93,41.78
CO00150,2023,tech,6,10000,23.82,39.5
CO00151,2021,retail,14,148577,11.96,43.62
CO00152,2021,services,13,4031709,24.68,46.83
CO00153,2013,manufacturing,24,2195031,18.9,9.03
CO00154,2024,manufacturing,50,1264728,11.36,38.82
CO00155,2024,manufacturing,210,575639,2.42,13.77
CO00156,2022,manufacturing,8,8022792,2.0,21.59
CO00157,2023,manufacturing,20,53085,7.54,16.18
CO00158,2023,healthcare,14,64237,8.99,40.74
CO00159,2010,services,9,4191589,27.83,39.75
CO00160,2024,tech,36,467525,30.0,49.61
CO00161,2021,healthcare,33,115571,4.31,30.4
CO00162,2024,tech,5,1334209,28.28,53.53
CO00163,2017,tech,34,184069,21.2,44.67
CO00164,2017,manufacturing,10,82863,14.96,32.49
CO00165,2024,retail,34,78377,28.64,38.65
CO00166,2013,services,118,841632,21.41,40.5
CO00167,2014,services,53,667724,17.81,42.76
CO00168,2024,tech,40,9188778,6.29,45.04
CO00169,2011,manufacturing,20,247662,7.33,14.61
CO00170,2014,services,35,239354,27.35,56.58
CO00171,2023,services,58,7875498,6.45,42.38
CO00172,2020,manufacturing,53,3176509,0.97,34.23
CO00173,2021,services,30,591133,7.99,42.02
CO00174,2018,manufacturing,41,19496,14.42,18.74
CO00175,2022,retail,9,87228,11.46,10.24
CO00176,2011,manufacturing,16,53734,28.07,21.63
CO00177,2022,services,67,475871,12.56,39.38
CO00178,2018,tech,77,160062,26.67,48.82
CO00179,2024,services,36,10916760,17.84,38.57
CO00180,2019,retail,145,19093,15.72,3.92
CO00181,2024,tech,55,43361,4.81,37.91
CO00182,2017,services,26,721622,8.13,25.56
CO00183,2024,retail,10,1255283,26.02,33.67
CO00184,2018,manufacturing,140,10000,23.4,28.95
CO00185,2019,services,72,13755,13.42,22.03
CO00186,2022,manufacturing,200,261134,27.27,18.13
CO00187,2021,services,289,6663045,24.58,36.07
CO00188,2024,healthcare,9,19298188,3.36,48.43
CO00189,2018,services,9,193108,18.18,35.11
CO00190,2023,tech,5,314489,23.97,63.71
CO00191,2021,retail,83,82972,24.25,22.17
CO00192,2022,manufacturing,64,1569727,2.74,9.3
CO00193,2019,manufacturing,37,9407889,6.74,13.84
CO00194,2021,retail,10,5454990,12.39,21.19
CO00195,2022,tech,30,417482,7.55,45.8
CO00196,2019,tech,40,82696,3.27,30.8
CO00197,2022,tech,72,449726,18.86,35.89
CO00198,2016,healthcare,44,7001068,15.22,47.8
CO00199,2015,retail,64,198583,4.65,31.0
CO00200,2017,healthcare,29,11721,17.59,47.28
CO00201,2023,retail,108,215341,1.86,28.35
CO00202,2023,retail,62,253203,11.49,20.85
CO00203,2019,manufacturing,10,11584,23.78,29.93
CO00204,2023,healthcare,133,703676,26.7,48.16
CO00205,2019,manufacturing,113,1217133,7.36,17.18
CO00206,2024,tech,53,18252000,25.79,57.16
CO00207,2023,retail,44,30799,26.75,24.0
CO00208,2013,healthcare,174,1907001,18.21,34.48
CO00209,2014,tech,6,3059225,29.47,60.39
CO00210,2024,healthcare,115,1250734,7.39,48.0
CO00211,2022,healthcare,21,59065,2.07,42.59
CO00212,2022,retail,99,52582,25.3,37.02
CO00213,2024,manufacturing,37,537343,14.73,27.36
CO00214,2023,manufacturing,10,529853,10.39,25.01
CO00215,2012,services,20,144514,1.66,17.71
CO00216,2022,services,92,5857737,1.94,24.31
CO00217,2023,tech,27,198490,2.72,33.5
CO00218,2023,retail,18,10022,5.51,27.69
CO00219,2012,healthcare,18,282628,29.11,56.46
CO00220,2018,retail,63,1156081,8.44,34.35
CO00221,2022,retail,191,876701,24.51,40.5
CO00222,2015,services,5,863237,0.58,32.07
CO00223,2014,tech,500,8779921,9.65,21.15
CO00224,2024,tech,41,47591,27.19,49.48
CO00225,2021,services,59,189583,5.55,24.2
CO00226,2023,tech,21,9724004,8.52,52.99
CO00227,2018,healthcare,33,10000,24.8,39.26
CO00228,2023,retail,40,397365,3.64,24.9
CO00229,2019,tech,12,5167203,1.6,49.42
CO00230,2024,services,15,5015443,28.98,41.47
CO00231,2023,tech,108,1656525,12.14,51.65
CO00232,2023,retail,7,1742582,19.74,26.05
CO00233,2011,retail,51,55157,3.81,25.42
CO00234,2022,manufacturing,23,6895324,6.61,25.55
CO00235,2023,manufacturing,13,40129,13.8,30.72
CO00236,2022,tech,238,45214,20.25,27.47
CO00237,2022,retail,13,961017,8.8,18.16
CO00238,2022,tech,11,165044,26.54,58.25
CO00239,2023,tech,27,668902,23.43,48.6
CO00240,2024,services,15,1047099,16.55,38.58
CO00241,2022,manufacturing,33,15497968,13.78,25.16
CO00242,2018,tech,39,1053311,18.59,56.68
CO00243,2021,retail,42,128403,21.95,35.8
CO00244,2019,services,29,1711662,4.05,35.01
CO00245,2022,retail,16,83825,25.58,26.4
CO00246,2018,manufacturing,63,2747799,14.68,31.62
CO00247,2024,services,30,503458,28.06,35.65
CO00248,2022,services,20,985680,28.67,39.83
CO00249,2016,services,145,12565,0.92,10.06
CO00250,2015,retail,29,10000,11.53,24.41
CO00251,2019,manufacturing,99,21963,15.79,29.45
CO00252,2015,healthcare,113,14527322,16.19,45.18
CO00253,2021,healthcare,120,44519,24.67,36.84
CO00254,2020,tech,66,1913834,4.23,42.71
CO00255,2021,healthcare,33,122538,18.67,42.9
CO00256,2024,healthcare,31,273741,28.28,48.45
CO00257,2023,healthcare,26,404561,29.9,50.82
CO00258,2024,retail,5,11846663,0.3,21.18
CO00259,2022,manufacturing,68,1424043,29.18,34.73
CO00260,2022,tech,42,955572,3.67,27.64
CO00261,2018,tech,76,5917335,16.11,53.33
CO00262,2017,manufacturing,29,124692,7.39,12.79
CO00263,2012,retail,64,3747823,18.19,44.12
CO00264,2018,retail,8,2683426,1.11,8.44
CO00265,2017,retail,10,2622919,7.15,44.31
CO00266,2022,manufacturing,5,324475,9.02,11.42
CO00267,2023,tech,29,184493,27.47,42.53
CO00268,2011,healthcare,15,77679,17.51,44.06
CO00269,2024,services,13,88047,21.25,43.72
CO00270,2019,services,46,70683,20.28,34.43
CO00271,2017,healthcare,22,921442,11.77,48.63
CO00272,2024,services,8,280219,0.42,23.57
CO00273,2020,retail,422,1048425,3.21,8.16
CO00274,2024,healthcare,32,1173808,13.76,39.95
CO00275,2024,manufacturing,11,53129,28.24,27.43
CO00276,2022,manufacturing,17,50034,7.46,5.56
CO00277,2024,manufacturing,28,280037,20.95,29.21
CO00278,2021,tech,28,93878,24.8,49.1
CO00279,2023,healthcare,122,76052,27.2,50.83
CO00280,2024,healthcare,31,13142660,8.8,32.54
CO00281,2013,services,212,20605,27.94,27.29
CO00282,2020,retail,21,25295292,18.24,48.36
CO00283,2019,healthcare,51,788393,15.25,44.22
CO00284,2020,tech,92,3180269,23.35,55.36
CO00285,2021,retail,109,2512190,7.16,30.53
CO00286,2023,tech,123,1519540,24.38,53.01
CO00287,2021,retail,25,12282224,19.5,52.91
CO00288,2013,retail,33,50775,23.98,34.4
CO00289,2023,services,5,323593,25.67,34.77
CO00290,2022,retail,27,80362,18.52,36.84
CO00291,2020,healthcare,99,14881,1.1,23.59
CO00292,2016,retail,81,117891,8.93,24.36
CO00293,2023,manufacturing,30,18719860,26.34,40.03
CO00294,2020,manufacturing,181,312720,18.81,15.78
CO00295,2020,healthcare,23,23371582,26.7,48.71
CO00296,2023,services,16,28678386,11.54,44.54
CO00297,2019,healthcare,21,50000000,15.14,43.61
CO00298,2024,healthcare,11,19994864,25.88,60.46
CO00299,2024,tech,62,49439671,22.86,47.32
CO00300,2024,tech,44,847744,11.33,37.37
CO00301,2024,manufacturing,61,698476,0.68,34.3
CO00302,2021,tech,22,797852,26.41,41.39
CO00303,2019,manufacturing,31,442468,23.59,30.94
CO00304,2019,manufacturing,5,596793,13.47,42.31
CO00305,2024,retail,48,1991433,16.39,33.45
CO00306,2022,tech,37,174270,6.13,51.84
CO00307,2024,healthcare,11,28134,12.36,43.25
CO00308,2022,retail,30,915510,4.9,27.67
CO00309,2023,healthcare,26,110679,6.32,35.01
CO00310,2020,services,193,136141,25.39,17.21
CO00311,2018,services,11,332532,10.87,32.7
CO00312,2016,services,46,210178,24.44,41.94
CO00313,2024,retail,11,4073792,14.22,36.79
CO00314,2010,retail,19,316955,2.12,45.23
CO00315,2023,healthcare,44,4505904,10.85,44.3
CO00316,2021,services,27,667992,4.75,37.43
CO00317,2021,retail,33,370623,20.81,43.79
CO00318,2018,services,46,607095,27.34,47.13
CO00319,2015,retail,20,33414,22.89,32.46
CO00320,2024,healthcare,80,869918,23.35,44.24
CO00321,2023,manufacturing,24,2417824,25.86,31.8
CO00322,2020,retail,30,3209741,23.3,41.98
CO00323,2021,services,48,29603,17.06,32.6
CO00324,2022,services,42,21206,21.43,40.99
CO00325,2019,retail,63,151200,12.48,19.96
CO00326,2024,services,45,7055547,2.12,34.36
CO00327,2019,retail,53,688279,21.17,47.01
CO00328,2019,retail,24,93958,21.65,31.81
CO00329,2019,healthcare,11,24200,6.71,49.77
CO00330,2023,services,8,112647,28.62,44.26
CO00331,2022,tech,6,98410,1.58,38.89
CO00332,2013,services,193,2874057,22.08,37.1
CO00333,2022,retail,5,3352069,29.05,39.86
CO00334,2021,retail,109,54186,9.27,7.51
CO00335,2022,manufacturing,15,1995354,27.37,42.53
CO00336,2023,manufacturing,108,1625805,24.79,47.78
CO00337,2023,healthcare,5,41799,22.32,47.57
CO00338,2010,manufacturing,26,374131,28.61,37.99
CO00339,2024,retail,142,874703,19.62,29.09
CO00340,2022,services,68,613214,14.85,44.96
CO00341,2024,manufacturing,24,14456,20.27,25.36
CO00342,2022,tech,5,575137,12.35,49.03
CO00343,2022,services,9,1579359,9.75,24.12
CO00344,2024,manufacturing,133,10419486,2.47,16.07
CO00345,2023,manufacturing,23,116124,11.34,26.68
CO00346,2021,tech,31,148611,24.1,57.36
CO00347,2022,manufacturing,44,291345,28.36,40.0
CO00348,2020,services,9,792091,29.25,32.93
CO00349,2022,services,50,537151,6.2,20.11
CO00350,2022,services,22,1481574,17.14,44.41
CO00351,2013,healthcare,44,46612,17.27,33.8
CO00352,2018,manufacturing,19,978432,5.28,30.59
CO00353,2021,manufacturing,7,100264,17.45,14.22
CO00354,2018,manufacturing,22,332146,10.88,24.03
CO00355,2011,retail,63,13470696,28.27,41.04
CO00356,2021,retail,49,26997,7.66,27.96
CO00357,2014,services,34,252979,25.05,32.84
CO00358,2020,retail,81,34568,26.91,17.02
CO00359,2024,services,27,600871,22.08,42.3
CO00360,2017,services,35,3600077,6.44,39.15
CO00361,2011,healthcare,20,621139,7.81,47.17
CO00362,2019,tech,86,350308,29.13,48.58
CO00363,2023,retail,44,6304691,2.27,34.37
CO00364,2016,services,19,856838,3.51,36.27
CO00365,2020,manufacturing,7,2278737,29.36,47.55
CO00366,2012,services,100,1849664,23.31,39.53
CO00367,2024,services,16,10000,22.39,22.77
CO00368,2019,healthcare,36,379519,4.81,35.84
CO00369,2023,retail,348,51218,14.67,17.14
CO00370,2024,retail,74,84235,25.22,37.41
CO00371,2018,manufacturing,166,8445735,9.87,10.17
CO00372,2018,manufacturing,19,209062,5.78,19.33
CO00373,2024,healthcare,97,19484627,0.33,43.37
CO00374,2023,tech,34,26492,18.68,44.37
CO00375,2024,retail,48,50648,8.81,23.04
CO00376,2024,healthcare,250,2032345,25.91,55.64
CO00377,2019,services,25,223520,8.51,24.48
CO00378,2024,services,34,818030,4.55,42.12
CO00379,2016,retail,13,353410,28.81,47.39
CO00380,2024,services,81,332650,28.94,39.69
CO00381,2018,retail,19,240753,20.55,34.12
CO00382,2023,services,92,633481,27.85,40.98
CO00383,2018,tech,6,1596423,4.86,45.79
CO00384,2018,retail,57,11171140,13.81,29.34
CO00385,2020,services,17,295072,6.12,29.07
CO00386,2018,services,69,201334,14.36,31.23
CO00387,2019,healthcare,33,155605,23.74,42.31
CO00388,2019,healthcare,19,8365006,25.35,48.56
CO00389,2019,tech,22,1759692,0.12,23.51
CO00390,2016,tech,14,10000,11.69,42.12
CO00391,2024,retail,77,10000,29.82,28.66
CO00392,2021,healthcare,12,84110,17.68,27.03
CO00393,2023,manufacturing,25,701019,8.89,21.8
CO00394,2021,healthcare,47,413767,11.67,36.43
CO00395,2022,tech,166,1238680,9.68,50.24
CO00396,2022,healthcare,33,311487,13.43,36.26
CO00397,2011,tech,26,7237870,13.33,54.92
CO00398,2023,healthcare,44,2072410,15.21,54.36
CO00399,2022,healthcare,5,516666,13.94,37.53
CO00400,2020,retail,10,4371771,15.48,35.31
CO00401,2017,retail,23,16353,0.84,34.97
CO00402,2024,manufacturing,16,373192,1.63,22.4
CO00403,2024,services,7,582465,11.13,39.21
CO00404,2016,tech,78,1474859,26.55,48.94
CO00405,2021,retail,43,14323,23.72,37.12
CO00406,2014,services,38,262809,3.3,29.79
CO00407,2021,healthcare,17,985516,14.84,28.64
CO00408,2020,tech,36,1148910,18.14,46.53
CO00409,2021,healthcare,55,4743376,14.44,34.0
CO00410,2019,healthcare,25,2028912,20.93,47.79
CO00411,2013,healthcare,52,391722,29.92,41.0
CO00412,2020,retail,15,1706487,2.89,31.89
CO00413,2016,services,37,295750,15.47,36.73
CO00414,2023,tech,104,593354,15.37,34.49
CO00415,2024,tech,114,2168626,16.87,42.44
CO00416,2024,tech,125,404092,5.01,42.96
CO00417,2024,manufacturing,44,912532,19.15,38.47
CO00418,2016,services,34,3025592,1.33,24.99
CO00419,2022,tech,21,1838259,22.23,43.8
CO00420,2014,tech,5,5214447,19.89,68.91
CO00421,2022,retail,9,46590005,9.91,35.71
CO00422,2017,tech,28,1804610,29.67,56.73
CO00423,2023,healthcare,30,175854,24.86,39.81
CO00424,2023,tech,136,1231380,16.19,46.21
CO00425,2024,retail,123,1129896,29.72,50.39
CO00426,2019,retail,17,1509096,24.9,40.88
CO00427,2012,retail,75,8797978,4.14,36.78
CO00428,2024,healthcare,21,15241,17.73,39.81
CO00429,2018,retail,66,9135477,17.43,27.1
CO00430,2020,manufacturing,74,17909354,19.59,26.41
CO00431,2013,manufacturing,115,1377996,28.22,22.53
CO00432,2022,retail,20,1445939,14.76,35.34
CO00433,2022,manufacturing,91,272858,2.32,27.33
CO00434,2019,tech,5,448044,14.38,48.89
CO00435,2018,manufacturing,121,1786741,23.63,26.79
CO00436,2016,tech,32,1570814,10.76,39.9
CO00437,2020,manufacturing,33,1869944,0.81,24.26
CO00438,2021,retail,5,1549336,9.1,21.55
CO00439,2021,retail,22,2667840,20.46,28.03
CO00440,2018,tech,128,2133548,2.58,45.86
CO00441,2023,healthcare,22,57028,11.28,35.68
CO00442,2023,tech,68,2337368,3.99,39.49
CO00443,2022,tech,34,18204388,14.28,49.49
CO00444,2014,tech,96,419469,4.25,44.63
CO00445,2017,healthcare,40,8876872,3.27,40.56
CO00446,2021,retail,13,70644,20.93,27.4
CO00447,2020,manufacturing,35,416847,4.74,15.84
CO00448,2022,services,164,122722,4.64,23.26
CO00449,2015,tech,54,6979183,17.78,53.06
CO00450,2017,tech,29,11768689,1.31,43.75
CO00451,2016,tech,316,362800,0.99,27.22
CO00452,2023,services,106,4602559,12.94,36.01
CO00453,2018,healthcare,75,12010036,10.95,41.75
CO00454,2015,services,45,414224,16.34,30.65
CO00455,2018,healthcare,69,573494,29.8,56.91
CO00456,2022,healthcare,71,1918838,13.04,37.18
CO00457,2010,retail,5,82036,17.28,33.05
CO00458,2024,tech,49,551388,27.58,36.21
CO00459,2023,tech,28,32138788,14.5,50.15
CO00460,2019,services,20,162750,23.43,31.52
CO00461,2019,services,27,2440351,16.46,31.97
CO00462,2023,healthcare,7,1261243,19.12,65.51
CO00463,2016,manufacturing,5,318847,27.98,35.99
CO00464,2018,healthcare,115,689216,0.02,41.35
CO00465,2014,healthcare,53,14727688,27.03,58.04
CO00466,2020,healthcare,5,1338679,14.93,52.06
CO00467,2024,healthcare,19,1829653,18.2,44.05
CO00468,2022,tech,80,10872253,13.5,60.84
CO00469,2019,services,25,247998,7.83,39.59
CO00470,2023,healthcare,115,54511,1.98,29.81
CO00471,2017,retail,95,15198309,28.35,42.33
CO00472,2024,healthcare,9,581312,18.72,43.83
CO00473,2021,retail,29,2642409,26.2,40.1
CO00474,2019,retail,21,96311,8.72,26.94
CO00475,2023,services,8,962272,8.34,38.43
CO00476,2024,tech,8,49322,10.07,56.6
CO00477,2023,manufacturing,15,502564,6.93,13.98
CO00478,2011,healthcare,17,121073,14.94,49.97
CO00479,2020,tech,44,76472,28.09,47.83
CO00480,2022,tech,94,241289,26.28,59.41
CO00481,2019,healthcare,55,10000,14.85,33.61
CO00482,2024,services,70,43486,10.46,33.55
CO00483,2016,manufacturing,25,2115556,18.35,29.38
CO00484,2024,manufacturing,61,886762,18.37,14.33
CO00485,2024,healthcare,29,51618,20.51,56.03
CO00486,2022,services,21,1323442,16.07,31.57
CO00487,2024,healthcare,221,76387,0.8,25.72
CO00488,2021,tech,5,1874641,2.28,34.85
CO00489,2024,manufacturing,5,351063,29.21,24.03
CO00490,2023,services,49,230903,22.39,37.42
CO00491,2024,tech,25,368749,28.45,48.86
CO00492,2022,manufacturing,8,50000000,10.19,21.7
CO00493,2024,tech,12,96993,16.05,46.04
CO00494,2021,healthcare,13,696008,9.66,28.6
CO00495,2011,services,81,2111137,27.27,43.87
CO00496,2018,tech,111,64548,8.63,37.15
CO00497,2022,manufacturing,171,18242,20.81,0.5
CO00498,2022,tech,7,132960,5.25,37.32
CO00499,2013,healthcare,8,2020643,3.16,42.43
CO00500,2024,tech,8,223237,4.67,33.29
CO00501,2020,services,120,278671,15.88,37.28
CO00502,2021,tech,50,2734719,25.34,56.92
CO00503,2020,tech,36,88195,29.98,44.07
CO00504,2019,healthcare,42,370455,18.68,42.95
CO00505,2021,retail,31,21425,16.01,35.33
CO00506,2022,tech,11,840236,23.61,45.72
CO00507,2021,services,55,700124,1.91,28.26
CO00508,2021,retail,27,2171812,24.28,47.77
CO00509,2022,manufacturing,10,44778,22.75,21.97
CO00510,2019,healthcare,59,301409,15.89,44.4
CO00511,2022,services,22,34305,0.69,18.36
CO00512,2016,retail,42,270434,6.07,25.08
CO00513,2024,retail,29,8568267,11.09,37.12
CO00514,2021,retail,81,232930,28.24,16.47
CO00515,2023,services,41,28800,19.15,30.98
CO00516,2016,services,14,113577,15.3,39.49
CO00517,2022,manufacturing,46,17643,14.65,24.03
CO00518,2021,retail,47,33138,23.4,28.13
CO00519,2022,tech,55,1692934,9.71,36.03
CO00520,2023,healthcare,93,24524,2.84,34.86
CO00521,2020,services,18,826253,20.31,38.21
CO00522,2018,services,65,465787,9.87,37.36
CO00523,2022,tech,6,152808,9.77,47.01
CO00524,2011,retail,29,697111,13.64,28.23
CO00525,2022,retail,25,67824,7.28,34.57
CO00526,2018,manufacturing,141,2377806,27.65,26.05
CO00527,2024,services,28,109460,25.41,50.03
CO00528,2019,healthcare,61,204283,29.73,57.67
CO00529,2021,manufacturing,6,161022,28.94,42.02
CO00530,2016,retail,23,1756699,9.43,29.61
CO00531,2018,manufacturing,14,1314396,11.42,47.43
CO00532,2024,services,394,10000,20.95,21.98
CO00533,2020,retail,17,735632,0.48,27.7
CO00534,2021,manufacturing,36,13504,29.82,29.71
CO00535,2010,services,38,223542,0.33,19.39
CO00536,2017,manufacturing,7,356344,15.94,38.39
CO00537,2023,manufacturing,20,218793,20.06,24.41
CO00538,2017,services,50,1204576,27.42,50.87
CO00539,2015,retail,36,1867578,19.32,44.82
CO00540,2014,tech,5,94189,17.91,52.33
CO00541,2024,services,19,87588,9.01,26.87
CO00542,2023,manufacturing,92,411704,17.73,22.97
CO00543,2016,retail,60,20181,22.49,9.32
CO00544,2023,tech,112,170423,15.47,41.78
CO00545,2024,healthcare,12,6557733,23.39,56.47
CO00546,2024,services,119,21750,2.09,21.37
CO00547,2021,retail,32,224081,10.06,23.81
CO00548,2018,services,163,135320,28.79,34.67
CO00549,2024,manufacturing,33,24410788,9.7,38.67
CO00550,2014,retail,5,150885,18.66,33.0
CO00551,2023,retail,77,169461,15.6,44.03
CO00552,2018,tech,21,56301,28.1,46.77
CO00553,2023,healthcare,23,450738,4.88,38.88
