date,temperature_f,ice_cream_sales,drowning_deaths
2023-05-26,76.1,156,23
2023-05-27,77.04,238,16
2023-05-28,76.77,176,26
2023-05-29,84.21,207,30
2023-05-30,70.94,155,20
2023-05-31,73.88,139,25
2023-06-01,72.6,191,14
2023-06-02,74.5,193,22
2023-06-03,77.33,222,18
2023-06-04,71.48,101,12
2023-06-05,78.17,192,22
2023-06-06,62.68,81,5
2023-06-07,67.97,143,15
2023-06-08,67.18,129,17
2023-06-09,73.19,132,20
2023-06-10,70.02,164,9
2023-06-11,73.04,158,16
2023-06-12,67.1,60,14
2023-06-13,68.09,87,14
2023-06-14,66.06,107,4
2023-06-15,68.94,139,11
2023-06-16,70.82,136,14
2023-06-17,71.65,147,25
2023-06-18,67.7,120,13
2023-06-19,64.29,71,11
2023-06-20,59.1,14,4
2023-06-21,63.85,62,21
2023-06-22,66.02,120,8
2023-06-23,70.09,133,1
2023-06-24,68.92,117,25
2023-06-25,56.79,12,19
2023-06-26,57.82,28,7
2023-06-27,54.17,32,0
2023-06-28,63.15,61,16
2023-06-29,66.64,75,23
2023-06-30,60.54,30,15
2023-07-01,65.31,87,12
2023-07-02,58.89,54,1
2023-07-03,68.2,124,21
2023-07-04,62.97,86,10
2023-07-05,61.37,82,21
2023-07-06,55.08,0,9
2023-07-07,58.06,33,6
2023-07-08,58.77,40,0
2023-07-09,52.52,0,10
2023-07-10,55.22,34,5
2023-07-11,55.71,62,9
2023-07-12,59.75,0,24
2023-07-13,53.86,14,13
2023-07-14,50.91,0,5
2023-07-15,55.12,11,17
2023-07-16,58.81,61,13
2023-07-17,55.16,71,4
2023-07-18,51.85,6,6
2023-07-19,51.31,18,10
2023-07-20,55.95,0,0
2023-07-21,52.11,0,14
2023-07-22,49.93,0,10
2023-07-23,49.77,6,0
2023-07-24,58.29,76,18
2023-07-25,49.34,0,9
2023-07-26,47.22,0,3
2023-07-27,45.63,0,2
2023-07-28,52.32,7,16
2023-07-29,44.82,0,11
2023-07-30,45.24,0,5
2023-07-31,55.77,53,0
2023-08-01,48.15,0,0
2023-08-02,46.22,0,22
2023-08-03,47.9,0,9
2023-08-04,45.31,0,3
2023-08-05,47.12,0,18
2023-08-06,50.54,0,9
2023-08-07,43.95,0,2
2023-08-08,52.07,0,20
2023-08-09,48.62,0,4
2023-08-10,44.24,0,4
2023-08-11,48.35,0,10
2023-08-12,40.06,0,13
2023-08-13,41.38,0,11
2023-08-14,41.84,0,0
2023-08-15,40.42,0,8
2023-08-16,37.75,0,4
2023-08-17,38.54,0,2
2023-08-18,39.72,0,0
2023-08-19,47.62,0,4
2023-08-20,38.93,0,5
2023-08-21,37.83,0,0
2023-08-22,31.27,0,0
2023-08-23,47.07,0,7
2023-08-24,47.49,0,0
2023-08-25,38.77,0,12
2023-08-26,40.93,0,5
2023-08-27,40.55,0,4
2023-08-28,43.92,0,5
2023-08-29,34.03,0,0
2023-08-30,46.41,0,4
2023-08-31,37.14,0,10
2023-09-01,36.9,0,1
2023-09-02,39.37,0,3
2023-09-03,33.54,0,3
2023-09-04,33.73,0,0
2023-09-05,35.57,0,4
2023-09-06,34.65,0,0
2023-09-07,39.15,0,11
2023-09-08,30.01,0,0
2023-09-09,42.86,0,5
2023-09-10,35.64,0,0
2023-09-11,41.09,0,0
2023-09-12,37.64,0,4
2023-09-13,34.31,0,13
2023-09-14,36.4,0,7
2023-09-15,35.16,0,4
2023-09-16,37.07,0,0
2023-09-17,37.33,0,1
2023-09-18,37.62,0,5
2023-09-19,35.95,0,6
2023-09-20,39.41,0,1
2023-09-21,35.81,0,0
2023-09-22,27.92,0,0
2023-09-23,39.81,0,8
2023-09-24,35.39,0,0
2023-09-25,32.69,0,0
2023-09-26,35.37,0,3
2023-09-27,32.96,0,7
2023-09-28,40.42,0,10
2023-09-29,36.61,0,9
2023-09-30,32.07,0,5
2023-10-01,31.42,0,14
2023-10-02,34.3,0,5
2023-10-03,34.72,0,6
2023-10-04,36.59,0,1
2023-10-05,35.66,0,12
2023-10-06,35.36,0,7
2023-10-07,35.89,0,1
2023-10-08,25.41,0,0
2023-10-09,36.66,0,0
2023-10-10,37.17,0,17
2023-10-11,39.1,0,0
2023-10-12,37.47,0,2
2023-10-13,31.97,0,0
2023-10-14,30.0,0,0
2023-10-15,36.53,0,0
2023-10-16,35.52,0,11
2023-10-17,34.84,0,0
2023-10-18,33.37,0,0
2023-10-19,37.67,0,1
2023-10-20,34.81,0,2
2023-10-21,32.62,0,0
2023-10-22,28.6,0,0
2023-10-23,37.0,0,4
2023-10-24,40.95,0,0
2023-10-25,35.8,0,8
2023-10-26,40.72,0,6
2023-10-27,39.09,0,7
2023-10-28,43.06,0,1
2023-10-29,34.87,0,0
2023-10-30,33.28,0,0
2023-10-31,42.95,0,15
2023-11-01,47.88,0,4
2023-11-02,30.11,0,1
2023-11-03,32.83,0,1
2023-11-04,40.43,0,9
2023-11-05,40.91,0,3
2023-11-06,41.08,0,2
2023-11-07,41.19,0,0
2023-11-08,37.37,0,0
2023-11-09,36.13,0,0
2023-11-10,44.84,0,2
2023-11-11,38.49,0,8
2023-11-12,40.8,0,2
2023-11-13,50.11,0,7
2023-11-14,42.96,0,3
2023-11-15,40.78,0,0
2023-11-16,38.37,0,3
2023-11-17,46.68,0,11
2023-11-18,44.62,0,9
2023-11-19,41.96,0,2
2023-11-20,32.63,0,0
2023-11-21,44.15,0,0
2023-11-22,50.19,0,10
2023-11-23,48.19,4,10
2023-11-24,51.75,0,12
2023-11-25,43.44,0,8
2023-11-26,48.32,0,14
2023-11-27,49.69,0,9
2023-11-28,39.32,0,8
2023-11-29,41.02,0,9
2023-11-30,48.32,0,10
2023-12-01,45.3,0,10
2023-12-02,49.21,0,0
2023-12-03,49.96,3,18
2023-12-04,48.62,0,18
2023-12-05,51.94,0,7
2023-12-06,52.54,0,12
2023-12-07,50.53,0,0
2023-12-08,51.21,0,9
2023-12-09,44.19,0,2
2023-12-10,49.33,0,10
2023-12-11,46.32,0,9
2023-12-12,50.16,0,10
2023-12-13,56.0,4,20
2023-12-14,61.4,66,10
2023-12-15,47.1,0,7
2023-12-16,52.31,0,6
2023-12-17,52.36,0,6
2023-12-18,50.94,0,3
2023-12-19,52.48,0,9
2023-12-20,50.86,0,3
2023-12-21,52.32,55,6
2023-12-22,60.88,33,12
2023-12-23,59.21,77,11
2023-12-24,63.61,73,15
2023-12-25,56.95,0,17
2023-12-26,58.33,30,9
2023-12-27,54.61,1,8
2023-12-28,56.25,65,9
2023-12-29,61.83,24,10
2023-12-30,61.31,57,10
2023-12-31,62.97,60,26
2024-01-01,55.02,18,9
2024-01-02,56.79,6,8
2024-01-03,64.63,51,19
2024-01-04,57.73,71,13
2024-01-05,57.19,13,8
2024-01-06,64.88,65,18
2024-01-07,62.26,75,19
2024-01-08,62.66,60,18
2024-01-09,57.0,47,6
2024-01-10,71.7,136,21
2024-01-11,67.16,139,18
2024-01-12,69.9,168,9
2024-01-13,63.61,111,14
2024-01-14,62.12,66,18
2024-01-15,69.36,122,16
2024-01-16,63.59,53,12
2024-01-17,60.45,54,8
2024-01-18,72.15,138,12
2024-01-19,71.67,142,16
2024-01-20,68.22,152,32
2024-01-21,64.99,57,7
2024-01-22,65.6,74,20
2024-01-23,70.27,152,20
2024-01-24,66.13,138,21
2024-01-25,67.54,127,9
2024-01-26,70.86,131,16
2024-01-27,77.19,163,18
2024-01-28,74.79,154,14
2024-01-29,67.4,58,12
2024-01-30,71.96,142,25
2024-01-31,65.87,111,3
2024-02-01,78.53,193,16
2024-02-02,77.53,151,29
2024-02-03,72.17,147,9
2024-02-04,73.51,171,33
2024-02-05,72.11,145,24
2024-02-06,74.37,180,13
2024-02-07,72.34,165,18
2024-02-08,66.41,109,11
2024-02-09,83.61,247,24
2024-02-10,80.54,146,18
2024-02-11,76.07,144,28
2024-02-12,76.74,202,13
2024-02-13,72.27,127,8
2024-02-14,74.8,184,24
2024-02-15,73.25,173,30
2024-02-16,75.73,150,29
2024-02-17,71.78,131,18
2024-02-18,78.01,228,20
2024-02-19,79.0,233,22
2024-02-20,79.21,239,13
2024-02-21,75.58,178,14
2024-02-22,81.5,201,23
2024-02-23,86.66,252,14
2024-02-24,75.51,172,11
2024-02-25,84.66,261,19
2024-02-26,84.55,229,21
2024-02-27,73.83,92,18
2024-02-28,74.07,168,13
2024-02-29,77.21,222,26
2024-03-01,79.8,200,18
2024-03-02,78.16,216,25
2024-03-03,79.68,231,26
2024-03-04,82.16,231,18
2024-03-05,85.94,304,28
2024-03-06,83.3,228,29
2024-03-07,81.83,215,28
2024-03-08,85.09,303,24
2024-03-09,80.06,248,24
2024-03-10,85.63,254,25
2024-03-11,95.15,290,29
2024-03-12,83.16,218,27
2024-03-13,86.88,284,22
2024-03-14,83.86,229,21
2024-03-15,89.04,303,20
2024-03-16,86.08,309,31
2024-03-17,83.19,267,28
2024-03-18,82.45,209,19
2024-03-19,78.11,180,15
2024-03-20,87.75,299,19
2024-03-21,75.71,195,25
2024-03-22,81.9,212,25
2024-03-23,82.32,233,33
2024-03-24,84.42,258,15
2024-03-25,83.8,239,25
2024-03-26,88.89,257,22
2024-03-27,92.61,283,23
2024-03-28,84.76,290,31
2024-03-29,93.61,322,28
2024-03-30,91.45,284,30
2024-03-31,80.03,224,26
2024-04-01,85.58,263,25
2024-04-02,84.74,249,24
2024-04-03,84.29,228,24
2024-04-04,80.57,232,18
2024-04-05,87.15,236,25
2024-04-06,81.51,212,12
2024-04-07,85.93,274,24
2024-04-08,80.35,245,18
2024-04-09,83.23,224,25
2024-04-10,87.06,245,26
2024-04-11,80.86,158,17
2024-04-12,86.37,271,20
2024-04-13,81.98,222,20
2024-04-14,82.85,202,24
2024-04-15,82.92,226,32
2024-04-16,85.58,264,37
2024-04-17,80.05,178,26
2024-04-18,82.98,260,25
2024-04-19,76.18,216,18
2024-04-20,87.4,261,24
2024-04-21,82.56,265,33
2024-04-22,91.36,319,28
2024-04-23,89.85,284,19
2024-04-24,84.75,255,17
2024-04-25,84.93,238,29
2024-04-26,80.84,207,30
2024-04-27,86.04,233,20
2024-04-28,85.43,261,31
2024-04-29,80.3,196,12
2024-04-30,86.53,246,18
2024-05-01,85.65,247,21
2024-05-02,82.28,218,23
2024-05-03,81.12,221,20
2024-05-04,81.62,224,24
2024-05-05,73.26,180,26
2024-05-06,75.97,186,9
2024-05-07,77.69,214,17
2024-05-08,78.53,191,17
2024-05-09,77.62,208,17
2024-05-10,86.16,260,34
2024-05-11,79.62,224,29
2024-05-12,76.47,154,12
2024-05-13,71.01,81,7
2024-05-14,74.78,152,13
2024-05-15,83.85,259,17
2024-05-16,72.89,158,23
2024-05-17,74.91,168,19
2024-05-18,74.78,143,17
2024-05-19,77.83,169,23
2024-05-20,75.91,168,24
2024-05-21,78.29,196,15
2024-05-22,75.37,149,11
2024-05-23,75.06,168,8
2024-05-24,80.32,183,29
2024-05-25,78.67,225,18
2024-05-26,70.63,133,9
2024-05-27,72.9,127,19
2024-05-28,76.08,155,20
2024-05-29,71.54,219,20
2024-05-30,70.04,149,9
2024-05-31,80.01,228,11
2024-06-01,82.53,239,18
2024-06-02,71.01,110,20
2024-06-03,66.66,91,17
2024-06-04,67.02,125,11
2024-06-05,65.63,76,0
2024-06-06,73.88,184,5
2024-06-07,78.6,192,24
2024-06-08,74.34,210,26
2024-06-09,65.27,87,0
2024-06-10,74.86,173,20
2024-06-11,69.95,115,12
2024-06-12,66.53,120,17
2024-06-13,66.2,91,21
2024-06-14,60.59,0,17
2024-06-15,62.53,85,8
2024-06-16,71.28,174,24
2024-06-17,66.62,97,15
2024-06-18,69.17,133,20
2024-06-19,67.18,108,8
2024-06-20,70.57,94,15
2024-06-21,68.17,115,19
2024-06-22,61.04,43,10
2024-06-23,67.17,114,15
2024-06-24,63.35,58,13
2024-06-25,64.56,70,25
2024-06-26,66.81,155,29
2024-06-27,60.26,39,20
2024-06-28,59.46,27,9
2024-06-29,67.08,106,11
2024-06-30,63.77,104,10
2024-07-01,55.53,10,8
2024-07-02,61.0,15,8
2024-07-03,60.26,75,25
2024-07-04,63.81,109,25
2024-07-05,63.38,68,23
2024-07-06,59.12,36,14
2024-07-07,54.43,22,10
2024-07-08,55.4,0,8
2024-07-09,56.8,16,11
2024-07-10,59.15,49,10
2024-07-11,60.3,53,9
2024-07-12,50.66,0,6
2024-07-13,53.9,0,9
2024-07-14,54.59,0,0
2024-07-15,60.41,38,7
2024-07-16,57.78,0,9
2024-07-17,56.88,18,12
2024-07-18,59.97,43,6
2024-07-19,45.99,0,2
2024-07-20,59.12,30,11
2024-07-21,42.35,0,6
2024-07-22,51.55,0,13
2024-07-23,44.57,0,2
2024-07-24,50.52,0,13
2024-07-25,52.8,23,10
2024-07-26,47.93,0,8
2024-07-27,41.96,0,19
2024-07-28,45.52,0,20
2024-07-29,46.47,0,17
2024-07-30,53.43,0,12
2024-07-31,43.75,0,7
2024-08-01,46.91,0,15
2024-08-02,47.88,0,14
2024-08-03,42.52,0,0
2024-08-04,47.03,0,9
2024-08-05,43.53,0,3
2024-08-06,46.86,0,5
2024-08-07,42.29,0,2
2024-08-08,42.51,0,13
2024-08-09,44.65,0,9
2024-08-10,48.28,0,12
2024-08-11,45.24,0,7
2024-08-12,43.86,0,7
2024-08-13,36.56,0,0
2024-08-14,52.12,0,19
2024-08-15,41.97,0,0
2024-08-16,49.46,0,16
2024-08-17,40.63,0,0
2024-08-18,36.38,0,0
2024-08-19,35.07,0,2
2024-08-20,40.67,0,1
2024-08-21,44.27,0,8
2024-08-22,42.71,0,0
2024-08-23,36.16,0,0
2024-08-24,26.76,0,5
2024-08-25,34.93,0,9
2024-08-26,38.95,0,0
2024-08-27,45.77,0,13
2024-08-28,35.14,0,0
2024-08-29,44.03,0,5
2024-08-30,38.2,0,6
2024-08-31,45.45,0,8
2024-09-01,37.98,0,8
2024-09-02,36.75,0,0
2024-09-03,34.21,0,0
2024-09-04,35.12,0,0
2024-09-05,37.86,0,10
2024-09-06,32.97,0,0
2024-09-07,38.48,0,6
2024-09-08,33.14,0,11
2024-09-09,34.97,0,0
2024-09-10,30.36,0,0
2024-09-11,36.63,0,14
2024-09-12,35.67,0,0
2024-09-13,33.38,0,0
2024-09-14,31.48,0,0
2024-09-15,36.75,0,12
2024-09-16,33.05,0,2
2024-09-17,35.26,0,1
2024-09-18,36.1,0,0
2024-09-19,33.32,0,0
2024-09-20,30.66,0,0
2024-09-21,34.99,0,7
2024-09-22,39.56,0,4
2024-09-23,28.81,0,3
2024-09-24,33.41,0,0
2024-09-25,34.46,0,2
2024-09-26,35.29,0,1
2024-09-27,39.32,0,5
2024-09-28,35.13,0,1
2024-09-29,37.31,0,0
2024-09-30,32.65,0,2
2024-10-01,30.93,0,0
2024-10-02,28.68,0,1
2024-10-03,28.94,0,0
2024-10-04,33.81,0,0
2024-10-05,38.3,0,2
2024-10-06,39.43,0,1
2024-10-07,36.21,0,0
2024-10-08,35.55,0,5
2024-10-09,36.02,0,3
2024-10-10,31.22,0,0
2024-10-11,33.68,0,0
2024-10-12,40.14,0,14
2024-10-13,37.34,0,5
2024-10-14,28.48,0,0
2024-10-15,32.16,0,0
2024-10-16,33.81,0,0
2024-10-17,36.17,0,10
2024-10-18,34.85,0,6
2024-10-19,36.26,0,0
2024-10-20,34.35,0,0
2024-10-21,38.67,0,7
2024-10-22,29.44,0,0
2024-10-23,41.0,0,8
2024-10-24,38.71,0,9
2024-10-25,38.07,0,6
2024-10-26,35.16,0,10
2024-10-27,40.94,0,11
2024-10-28,37.83,0,2
2024-10-29,36.38,0,0
2024-10-30,37.85,0,10
2024-10-31,39.24,0,0
2024-11-01,36.22,0,4
2024-11-02,34.6,0,4
2024-11-03,38.21,0,0
2024-11-04,40.71,0,12
2024-11-05,39.1,0,0
2024-11-06,31.73,0,0
2024-11-07,30.86,0,1
2024-11-08,38.57,0,6
2024-11-09,47.96,0,0
2024-11-10,36.95,0,0
2024-11-11,41.91,0,6
2024-11-12,45.03,0,9
2024-11-13,43.41,0,0
2024-11-14,42.76,0,11
2024-11-15,40.39,0,10
2024-11-16,41.8,0,0
2024-11-17,40.58,0,9
2024-11-18,39.84,0,10
2024-11-19,50.35,3,0
2024-11-20,39.98,0,10
2024-11-21,42.89,0,10
2024-11-22,48.31,0,0
2024-11-23,46.47,0,7
2024-11-24,46.25,0,1
2024-11-25,45.08,0,13
2024-11-26,52.27,0,4
2024-11-27,51.54,0,0
2024-11-28,47.09,0,6
2024-11-29,50.76,0,13
2024-11-30,44.13,0,5
2024-12-01,49.99,15,8
2024-12-02,47.5,0,14
2024-12-03,49.64,0,0
2024-12-04,51.5,0,10
2024-12-05,49.84,0,0
2024-12-06,48.29,3,1
2024-12-07,43.92,0,14
2024-12-08,42.94,0,18
2024-12-09,48.36,0,0
2024-12-10,49.14,0,4
2024-12-11,50.01,0,0
2024-12-12,52.28,0,10
2024-12-13,49.53,0,15
2024-12-14,56.12,11,12
2024-12-15,51.31,0,24
2024-12-16,52.6,8,5
2024-12-17,54.91,0,12
2024-12-18,54.66,28,1
2024-12-19,57.74,18,19
2024-12-20,57.83,45,6
2024-12-21,56.57,5,18
2024-12-22,50.79,0,16
2024-12-23,57.25,50,6
2024-12-24,59.34,42,8
2024-12-25,62.91,61,12
2024-12-26,56.17,18,5
2024-12-27,56.58,43,13
2024-12-28,57.86,26,13
2024-12-29,54.7,23,7
2024-12-30,62.68,71,9
