customer_id,tenure_months,monthly_charges,contract_type,payment_method,num_support_tickets,account_closure_reason,last_contact_before_churn_days,churned
C00198,9,23.21,2-year,check,13,,,0
C00199,25,59.33,monthly,auto,0,competitor,40.0,1
C00200,70,107.07,1-year,bank,3,,,0
C00201,27,88.88,monthly,bank,3,,,0
C00202,66,73.27,1-year,check,10,other,31.0,1
C00203,36,58.79,1-year,auto,3,,,0
C00204,51,101.23,1-year,auto,6,,,0
C00205,33,90.96,monthly,card,7,,,0
C00206,20,66.84,1-year,auto,11,,,0
C00207,56,109.25,monthly,auto,8,,,0
C00208,70,42.99,monthly,card,0,,,0
C00209,19,37.04,monthly,card,10,,,0
C00210,57,84.28,1-year,card,6,,,0
C00211,19,117.2,monthly,auto,1,,,0
C00212,52,44.73,1-year,auto,10,,,0
C00213,57,44.97,monthly,check,4,service,27.0,1
C00214,33,33.95,monthly,check,7,,,0
C00215,54,106.06,monthly,bank,15,service,29.0,1
C00216,20,42.64,monthly,auto,3,other,60.0,1
C00217,6,70.32,1-year,card,14,service,60.0,1
C00218,7,119.09,2-year,bank,7,,,0
C00219,33,21.21,1-year,card,14,,,0
C00220,65,75.65,monthly,auto,13,,,0
C00221,10,71.23,monthly,check,13,price,53.0,1
C00222,33,100.74,2-year,check,3,,,0
C00223,51,55.53,monthly,auto,12,price,21.0,1
C00224,15,61.03,monthly,card,5,price,20.0,1
C00225,52,36.79,2-year,auto,14,,,0
C00226,23,94.08,monthly,card,15,competitor,33.0,1
C00227,59,98.47,monthly,auto,9,,,0
C00228,42,33.67,monthly,check,14,other,41.0,1
C00229,40,59.35,1-year,auto,8,price,10.0,1
C00230,13,109.29,monthly,card,0,other,15.0,1
C00231,34,20.27,1-year,auto,13,,,0
C00232,62,49.88,monthly,auto,8,,,0
C00233,2,75.5,monthly,card,0,price,53.0,1
C00234,55,53.41,monthly,check,1,,,0
C00235,36,47.2,2-year,auto,11,,,0
C00236,52,66.0,monthly,bank,14,,,0
C00237,48,38.15,1-year,bank,11,,,0
C00238,32,72.96,monthly,bank,7,,,0
C00239,23,90.67,monthly,check,4,price,58.0,1
C00240,46,77.53,monthly,auto,6,,,0
C00241,11,29.31,1-year,check,5,,,0
C00242,43,104.44,monthly,check,4,,,0
C00243,7,37.5,2-year,auto,2,,,0
C00244,47,96.48,2-year,auto,9,,,0
C00245,46,56.06,1-year,bank,3,,,0
C00246,7,98.28,1-year,auto,2,price,54.0,1
C00247,55,40.63,1-year,bank,4,,,0
C00248,30,38.67,1-year,check,12,,,0
C00249,57,69.7,monthly,bank,9,,,0
C00250,3,23.29,2-year,auto,7,,,0
C00251,13,42.53,2-year,check,9,,,0
C00252,36,92.4,monthly,check,9,price,9.0,1
C00253,14,103.74,2-year,bank,7,competitor,2.0,1
C00254,24,28.08,2-year,check,13,,,0
C00255,48,108.21,monthly,auto,11,price,21.0,1
C00256,11,99.75,2-year,bank,2,,,0
C00257,49,106.97,monthly,auto,13,price,39.0,1
C00258,8,89.84,monthly,bank,2,,,0
C00259,13,87.42,monthly,card,1,competitor,22.0,1
C00260,43,72.51,1-year,check,6,,,0
C00261,58,85.28,monthly,check,6,,,0
C00262,13,111.91,2-year,bank,12,,,0
C00263,22,30.05,monthly,check,11,,,0
C00264,67,51.58,monthly,check,0,,,0
C00265,72,27.25,1-year,auto,7,,,0
C00266,42,114.48,monthly,auto,12,competitor,19.0,1
C00267,33,64.53,1-year,auto,11,,,0
C00268,25,87.53,monthly,bank,8,competitor,35.0,1
C00269,45,104.11,2-year,card,9,,,0
C00270,43,119.1,1-year,card,8,,,0
C00271,22,36.18,monthly,check,3,other,7.0,1
C00272,2,99.95,monthly,check,9,price,32.0,1
C00273,11,108.74,monthly,check,10,service,13.0,1
C00274,70,24.89,2-year,card,0,,,0
C00275,31,95.41,1-year,check,11,competitor,36.0,1
C00276,35,55.47,monthly,auto,3,,,0
C00277,34,84.86,monthly,check,0,,,0
C00278,57,71.4,2-year,check,12,,,0
C00279,5,45.97,monthly,card,6,competitor,52.0,1
C00280,6,33.52,1-year,bank,6,,,0
C00281,20,31.69,1-year,check,9,,,0
C00282,36,30.33,monthly,check,8,other,24.0,1
C00283,49,83.78,1-year,check,9,,,0
C00284,36,55.14,monthly,check,15,,,0
C00285,32,41.66,monthly,check,10,competitor,37.0,1
C00286,68,89.19,2-year,bank,0,,,0
C00287,12,88.68,1-year,check,3,,,0
C00288,42,73.92,2-year,bank,7,,,0
C00289,40,113.5,1-year,bank,7,service,25.0,1
C00290,35,58.54,monthly,bank,5,,,0
C00291,59,103.59,1-year,check,2,,,0
C00292,20,27.51,1-year,auto,1,,,0
C00293,69,93.98,monthly,check,2,,,0
C00294,24,118.84,monthly,card,15,other,13.0,1
C00295,40,104.66,1-year,check,6,,,0
C00296,38,77.97,1-year,bank,15,,,0
C00297,62,82.68,monthly,card,5,competitor,10.0,1
C00298,32,55.33,2-year,card,4,,,0
C00299,21,87.95,monthly,auto,7,other,52.0,1
C00300,2,97.04,monthly,bank,15,price,18.0,1
C00301,27,119.82,monthly,card,9,other,57.0,1
C00302,60,69.25,2-year,card,0,,,0
C00303,1,26.13,monthly,check,4,service,26.0,1
C00304,65,79.59,monthly,auto,15,competitor,8.0,1
C00305,40,31.9,monthly,bank,2,,,0
C00306,11,44.48,1-year,card,13,service,29.0,1
C00307,22,52.88,1-year,bank,14,,,0
C00308,40,93.1,monthly,check,3,service,18.0,1
C00309,23,38.38,2-year,card,8,,,0
C00310,8,36.58,monthly,bank,9,other,42.0,1
C00311,48,24.5,monthly,card,12,other,10.0,1
C00312,49,107.32,1-year,bank,12,other,9.0,1
C00313,9,89.35,1-year,card,0,,,0
C00314,21,23.99,monthly,card,5,,,0
C00315,18,22.83,1-year,card,15,competitor,45.0,1
C00316,48,75.87,monthly,check,5,,,0
C00317,53,48.25,1-year,bank,3,,,0
C00318,53,79.67,1-year,auto,10,,,0
C00319,68,63.46,2-year,bank,3,,,0
C00320,56,112.33,monthly,card,2,,,0
C00321,24,48.78,1-year,card,12,,,0
C00322,8,87.91,1-year,auto,1,,,0
C00323,45,25.41,monthly,check,14,,,0
C00324,66,115.59,monthly,bank,3,service,46.0,1
C00325,71,118.08,2-year,check,1,,,0
C00326,17,93.91,monthly,check,11,other,52.0,1
C00327,18,66.52,1-year,card,2,,,0
C00328,3,42.0,monthly,check,5,competitor,6.0,1
C00329,11,101.25,2-year,card,5,,,0
C00330,40,93.64,monthly,card,8,price,54.0,1
C00331,40,42.2,2-year,check,7,,,0
C00332,27,65.12,1-year,bank,3,,,0
C00333,23,66.28,monthly,card,3,service,46.0,1
C00334,60,102.64,1-year,card,3,,,0
C00335,34,88.38,1-year,check,0,,,0
C00336,59,84.32,monthly,check,10,other,37.0,1
C00337,70,84.98,monthly,card,7,,,0
C00338,23,47.05,1-year,bank,1,,,0
C00339,15,57.17,1-year,bank,5,,,0
C00340,69,24.57,monthly,auto,10,,,0
C00341,46,98.69,2-year,auto,4,,,0
C00342,21,63.3,monthly,bank,6,competitor,8.0,1
C00343,45,63.82,monthly,check,11,,,0
C00344,38,44.54,1-year,auto,10,,,0
C00345,66,40.94,monthly,bank,11,,,0
C00346,19,78.78,monthly,card,6,price,30.0,1
C00347,72,43.26,1-year,bank,7,,,0
C00348,68,26.42,monthly,check,13,,,0
C00349,14,96.75,monthly,auto,13,other,18.0,1
C00350,12,57.65,1-year,bank,0,,,0
C00351,39,58.02,1-year,card,13,,,0
C00352,4,63.13,2-year,card,14,,,0
C00353,22,101.5,1-year,bank,15,other,46.0,1
C00354,32,52.08,monthly,card,4,,,0
C00355,70,95.8,monthly,card,8,,,0
C00356,72,113.95,1-year,check,0,,,0
C00357,11,86.09,monthly,auto,1,competitor,46.0,1
C00358,65,63.17,monthly,card,8,,,0
C00359,7,94.78,2-year,check,3,,,0
C00360,54,65.79,1-year,check,3,,,0
C00361,61,61.44,1-year,check,4,,,0
C00362,65,72.53,monthly,auto,7,,,0
C00363,17,51.77,monthly,auto,2,other,23.0,1
C00364,65,30.43,monthly,bank,12,,,0
C00365,9,61.49,1-year,auto,10,service,15.0,1
C00366,38,32.39,monthly,card,12,competitor,3.0,1
C00367,34,61.04,monthly,auto,14,service,54.0,1
C00368,23,75.69,monthly,card,9,price,18.0,1
C00369,2,113.07,1-year,card,5,other,53.0,1
C00370,56,23.62,1-year,card,15,,,0
C00371,25,82.15,monthly,card,9,,,0
C00372,48,65.77,monthly,bank,7,other,49.0,1
C00373,30,22.03,monthly,check,6,,,0
C00374,27,44.95,monthly,check,0,,,0
C00375,64,31.85,1-year,card,15,,,0
C00376,7,41.68,monthly,bank,13,other,39.0,1
C00377,54,47.46,1-year,card,11,,,0
C00378,54,60.13,1-year,card,3,,,0
C00379,28,72.9,2-year,check,14,,,0
C00380,19,20.1,2-year,check,2,,,0
C00381,1,36.19,monthly,card,3,price,58.0,1
C00382,68,29.36,monthly,bank,1,,,0
C00383,69,74.97,monthly,auto,4,,,0
C00384,18,52.91,1-year,check,5,,,0
C00385,3,74.84,monthly,card,12,price,20.0,1
C00386,9,42.18,monthly,auto,5,service,11.0,1
C00387,5,22.42,monthly,card,15,competitor,16.0,1
C00388,60,114.14,monthly,bank,4,price,49.0,1
C00389,65,30.83,1-year,check,8,,,0
C00390,12,32.69,1-year,check,9,,,0
C00391,54,34.65,1-year,card,13,,,0
C00392,13,118.13,2-year,auto,12,,,0
C00393,27,81.77,monthly,card,13,,,0
C00394,44,81.03,monthly,check,15,service,21.0,1
C00395,52,118.67,monthly,bank,1,,,0
C00396,63,28.84,1-year,auto,1,,,0
C00397,4,117.45,1-year,auto,7,,,0
C00398,15,40.4,monthly,auto,2,price,12.0,1
C00399,21,82.31,2-year,auto,7,,,0
C00400,23,62.01,monthly,check,9,other,9.0,1
C00401,72,58.4,monthly,card,4,,,0
C00402,56,113.12,1-year,check,1,,,0
C00403,24,34.92,2-year,bank,15,price,34.0,1
C00404,70,119.71,1-year,check,5,,,0
C00405,36,57.91,2-year,card,13,,,0
C00406,37,84.88,monthly,check,9,price,43.0,1
C00407,32,116.79,1-year,bank,10,price,35.0,1
C00408,11,25.76,2-year,check,12,,,0
C00409,68,112.29,1-year,bank,4,,,0
C00410,2,76.78,monthly,bank,3,,,0
C00411,13,90.44,2-year,card,15,price,41.0,1
C00412,17,34.92,monthly,auto,10,,,0
C00413,21,73.34,monthly,card,4,service,38.0,1
C00414,10,87.35,2-year,card,10,service,24.0,1
C00415,2,65.62,2-year,bank,6,,,0
C00416,49,35.5,2-year,card,13,,,0
C00417,70,44.41,2-year,auto,8,,,0
C00418,9,105.44,monthly,bank,5,price,56.0,1
C00419,22,23.45,2-year,card,11,,,0
C00420,37,90.89,monthly,bank,12,competitor,31.0,1
C00421,67,119.94,1-year,card,5,,,0
C00422,50,20.75,monthly,check,12,service,8.0,1
C00423,56,36.1,2-year,bank,3,,,0
C00424,42,87.41,1-year,card,3,,,0
C00425,31,26.0,2-year,auto,13,,,0
C00426,15,78.98,monthly,check,9,price,24.0,1
C00427,63,88.4,monthly,bank,0,,,0
C00428,58,78.81,monthly,check,10,competitor,20.0,1
C00429,2,56.52,monthly,check,4,service,49.0,1
C00430,52,89.73,1-year,card,4,,,0
C00431,7,79.43,monthly,auto,6,service,8.0,1
C00432,54,40.76,1-year,bank,7,,,0
C00433,60,76.31,monthly,card,14,,,0
C00434,10,108.19,monthly,check,6,,,0
C00435,32,86.68,1-year,auto,4,,,0
C00436,9,67.18,monthly,check,12,competitor,37.0,1
C00437,41,52.16,monthly,bank,8,,,0
C00438,67,28.59,monthly,bank,0,,,0
C00439,6,44.46,monthly,check,10,other,3.0,1
C00440,29,21.12,1-year,card,8,,,0
C00441,71,118.66,monthly,auto,9,,,0
C00442,22,42.25,monthly,bank,2,,,0
C00443,10,101.49,1-year,card,7,service,56.0,1
C00444,36,36.86,1-year,card,10,,,0
C00445,37,48.36,1-year,check,10,,,0
C00446,48,61.83,monthly,card,10,price,19.0,1
C00447,23,52.44,2-year,auto,15,,,0
C00448,69,99.84,monthly,auto,8,,,0
C00449,38,115.77,monthly,card,6,other,29.0,1
C00450,21,107.53,2-year,card,8,other,52.0,1
C00451,70,35.36,1-year,auto,5,,,0
C00452,67,97.67,1-year,card,5,,,0
C00453,36,34.79,2-year,bank,11,,,0
C00454,2,111.34,monthly,auto,5,price,22.0,1
C00455,43,71.79,2-year,card,11,competitor,38.0,1
C00456,40,53.64,1-year,check,11,,,0
C00457,11,35.7,monthly,bank,15,service,42.0,1
C00458,46,21.18,monthly,bank,2,price,52.0,1
C00459,61,44.79,monthly,auto,5,,,0
C00460,8,111.4,2-year,check,12,,,0
C00461,53,99.73,monthly,bank,6,,,0
C00462,11,116.98,monthly,auto,10,price,55.0,1
C00463,54,30.08,1-year,check,11,,,0
C00464,31,79.22,1-year,card,14,other,30.0,1
C00465,1,45.72,monthly,bank,3,competitor,31.0,1
C00466,70,74.29,2-year,card,4,,,0
C00467,12,52.05,1-year,check,7,competitor,53.0,1
C00468,43,48.35,2-year,auto,8,,,0
C00469,14,77.38,monthly,card,14,competitor,1.0,1
C00470,68,38.33,monthly,auto,0,,,0
C00471,54,66.91,1-year,auto,3,,,0
C00472,58,85.08,monthly,auto,14,,,0
C00473,32,32.82,1-year,check,9,,,0
C00474,34,113.06,monthly,bank,10,,,0
C00475,46,70.57,1-year,card,3,,,0
C00476,57,101.95,2-year,auto,9,,,0
C00477,61,85.39,2-year,bank,5,,,0
C00478,2,91.0,2-year,bank,11,price,34.0,1
C00479,48,91.61,2-year,check,1,,,0
C00480,8,107.51,monthly,check,4,competitor,58.0,1
C00481,21,81.36,monthly,auto,10,,,0
C00482,60,47.82,2-year,auto,9,,,0
C00483,19,29.95,2-year,auto,13,,,0
C00484,58,80.63,2-year,card,12,,,0
C00485,34,26.64,1-year,card,0,,,0
C00486,17,44.13,monthly,card,1,,,0
C00487,25,26.07,2-year,check,5,,,0
C00488,39,74.89,2-year,check,15,,,0
C00489,56,36.03,1-year,auto,7,,,0
C00490,44,81.04,2-year,auto,14,,,0
C00491,68,99.09,1-year,auto,0,,,0
C00492,63,102.19,2-year,card,15,,,0
C00493,55,50.95,monthly,check,0,,,0
C00494,44,74.9,2-year,auto,12,,,0
C00495,21,76.3,monthly,auto,14,other,39.0,1
C00496,30,67.29,monthly,bank,4,service,55.0,1
C00497,9,85.51,monthly,auto,4,price,6.0,1
C00498,27,41.01,monthly,bank,9,,,0
C00499,67,117.92,monthly,card,11,,,0
C00500,31,29.81,2-year,bank,1,,,0
C00501,9,102.92,1-year,bank,3,competitor,35.0,1
C00502,47,79.41,2-year,auto,12,,,0
C00503,70,44.49,monthly,card,12,competitor,25.0,1
C00504,63,94.57,monthly,card,2,,,0
C00505,20,28.45,1-year,check,14,other,31.0,1
C00506,33,97.44,1-year,check,13,competitor,53.0,1
C00507,39,79.0,1-year,check,13,other,39.0,1
C00508,18,31.08,2-year,card,3,,,0
C00509,20,27.95,2-year,bank,10,,,0
C00510,18,95.08,1-year,auto,2,,,0
C00511,72,49.29,2-year,card,3,,,0
C00512,54,108.93,1-year,auto,1,,,0
C00513,61,96.21,1-year,card,7,,,0
C00514,59,89.82,monthly,card,11,,,0
C00515,70,47.86,monthly,auto,3,,,0
C00516,8,90.89,monthly,bank,2,other,3.0,1
C00517,64,114.81,1-year,check,4,,,0
C00518,5,29.16,1-year,bank,3,,,0
C00519,35,52.62,monthly,check,13,service,2.0,1
C00520,43,43.47,1-year,bank,2,,,0
C00521,26,59.33,monthly,bank,4,,,0
C00522,11,94.23,monthly,auto,4,service,4.0,1
C00523,14,67.42,2-year,check,3,,,0
C00524,60,77.07,monthly,check,15,,,0
C00525,23,51.42,monthly,auto,3,competitor,5.0,1
C00526,23,34.13,monthly,bank,7,,,0
C00527,67,46.69,monthly,auto,9,,,0
C00528,11,105.97,1-year,check,4,competitor,57.0,1
C00529,66,80.24,2-year,auto,7,,,0
C00530,67,57.8,1-year,bank,2,,,0
C00531,44,98.99,1-year,check,7,,,0
C00532,12,26.45,monthly,card,0,service,47.0,1
C00533,12,45.39,1-year,card,7,,,0
C00534,21,43.01,monthly,card,5,,,0
C00535,42,118.54,monthly,check,5,price,32.0,1
C00536,12,90.61,2-year,bank,1,,,0
C00537,33,81.78,monthly,bank,15,competitor,59.0,1
C00538,9,20.5,monthly,check,0,competitor,44.0,1
C00539,39,38.43,monthly,bank,2,price,36.0,1
C00540,2,83.55,2-year,card,1,,,0
C00541,52,57.97,monthly,check,15,other,40.0,1
C00542,4,112.43,monthly,check,5,competitor,59.0,1
C00543,15,96.47,2-year,card,6,,,0
C00544,13,64.74,monthly,bank,12,price,18.0,1
C00545,60,94.95,2-year,card,0,,,0
C00546,4,117.54,monthly,check,1,competitor,47.0,1
C00547,31,66.1,1-year,card,2,,,0
C00548,43,84.25,2-year,card,10,,,0
C00549,38,111.87,1-year,bank,15,,,0
C00550,50,44.87,1-year,bank,9,,,0
C00551,58,108.66,monthly,auto,13,,,0
C00552,29,29.75,1-year,card,14,,,0
C00553,60,84.84,2-year,auto,4,,,0
C00554,23,98.28,1-year,bank,2,,,0
C00555,71,81.46,2-year,bank,2,,,0
C00556,37,69.55,1-year,card,12,,,0
C00557,53,81.73,1-year,bank,10,,,0
C00558,64,35.17,monthly,bank,13,,,0
C00559,58,41.56,1-year,check,8,,,0
C00560,62,46.99,2-year,auto,15,,,0
C00561,39,79.78,1-year,check,14,price,6.0,1
C00562,4,64.19,monthly,card,12,price,32.0,1
C00563,36,44.45,1-year,bank,12,other,18.0,1
C00564,14,108.28,1-year,check,1,,,0
C00565,65,57.39,2-year,check,11,,,0
C00566,18,64.6,monthly,check,15,other,13.0,1
C00567,17,60.97,monthly,check,4,service,35.0,1
C00568,18,38.19,monthly,check,13,price,5.0,1
C00569,47,93.16,monthly,auto,5,other,8.0,1
C00570,42,64.85,2-year,check,3,,,0
C00571,69,21.63,monthly,check,11,,,0
C00572,30,116.4,1-year,bank,2,service,35.0,1
C00573,21,101.58,monthly,bank,7,competitor,4.0,1
C00574,4,92.36,monthly,check,14,competitor,41.0,1
C00575,1,106.91,2-year,auto,2,,,0
