age,income,years_experience,region,account_type,marketing_channel,subscription_months,support_tickets_last_year,n_logins_last_30d,last_login_days_ago,device_type,education_level,target
52,66075.08,17,east,basic,paid,19,14,54,102,mobile,high_school,0
31,39824.05,12,north,basic,organic,34,11,81,219,desktop,masters,1
69,18170.6,37,north,basic,organic,24,6,92,110,mobile,bachelors,1
43,64461.72,21,east,premium,referral,26,10,98,289,desktop,high_school,0
47,30933.77,15,south,premium,referral,15,17,67,129,mobile,bachelors,0
65,55748.44,30,south,enterprise,social,10,3,68,246,desktop,high_school,0
34,53674.56,5,north,premium,organic,60,12,81,158,mobile,bachelors,0
43,15782.1,12,west,premium,organic,36,16,23,97,desktop,bachelors,0
46,51464.58,19,west,premium,referral,14,13,30,210,tablet,bachelors,1
32,66750.66,6,south,basic,paid,49,3,34,228,mobile,high_school,0
20,71846.81,0,east,premium,paid,50,10,75,249,tablet,bachelors,1
33,52597.27,7,west,basic,social,59,3,35,289,desktop,bachelors,1
23,14968.28,3,north,basic,paid,10,19,14,247,desktop,high_school,0
53,105477.05,18,west,enterprise,paid,39,7,80,311,mobile,high_school,0
18,62731.16,3,south,premium,social,59,8,75,155,desktop,phd,1
34,23813.51,12,east,basic,organic,49,18,60,186,tablet,phd,1
64,30556.79,32,east,premium,organic,14,8,89,176,mobile,bachelors,0
48,56316.03,24,north,enterprise,organic,54,4,79,211,desktop,high_school,0
53,73708.29,23,west,basic,organic,26,18,90,51,tablet,phd,1
53,36578.73,20,east,enterprise,paid,30,13,26,312,desktop,masters,1
33,80443.89,14,north,enterprise,social,34,12,11,190,tablet,masters,1
51,16719.65,22,east,premium,social,47,1,34,202,desktop,bachelors,1
29,26226.47,7,west,basic,referral,8,9,83,321,mobile,high_school,1
51,14205.46,20,west,basic,social,33,9,93,170,desktop,high_school,0
54,28611.3,18,east,basic,paid,50,5,11,168,desktop,phd,1
64,121157.46,34,north,basic,paid,33,11,86,206,mobile,bachelors,0
66,168498.37,35,south,premium,organic,17,5,48,343,mobile,high_school,0
19,56429.89,2,north,enterprise,paid,4,9,82,92,mobile,high_school,0
33,33421.09,6,west,basic,paid,33,16,68,57,desktop,bachelors,0
46,42916.69,23,west,basic,organic,43,15,6,39,desktop,high_school,1
35,65121.1,7,west,premium,social,33,5,48,269,desktop,masters,1
50,19191.28,17,north,basic,organic,59,4,8,3,mobile,masters,1
63,34769.66,24,west,premium,referral,37,0,34,259,mobile,masters,1
31,115952.49,6,west,enterprise,organic,31,7,76,323,mobile,bachelors,0
65,26175.36,28,east,basic,paid,4,0,69,249,desktop,bachelors,0
64,31275.34,32,west,basic,referral,34,2,71,62,desktop,bachelors,0
66,49410.4,29,south,premium,organic,11,20,66,242,tablet,bachelors,0
21,58097.93,6,south,basic,organic,44,17,1,162,mobile,high_school,0
33,33691.39,7,north,enterprise,paid,10,11,58,8,desktop,bachelors,0
24,51337.6,3,north,enterprise,referral,55,16,48,72,desktop,high_school,0
24,70598.47,4,north,basic,paid,19,10,53,271,tablet,bachelors,1
20,159033.65,5,east,premium,paid,27,12,21,205,desktop,high_school,0
41,45444.79,17,south,premium,organic,9,19,71,182,desktop,high_school,0
22,47821.07,6,north,basic,organic,13,1,61,284,desktop,high_school,0
33,122574.15,14,north,basic,social,56,7,40,191,mobile,bachelors,1
70,35259.86,29,east,enterprise,organic,18,2,5,354,desktop,high_school,0
64,22145.47,25,west,basic,paid,31,16,6,18,desktop,phd,1
67,56962.55,30,south,premium,referral,59,17,36,104,tablet,bachelors,0
19,93498.91,0,west,basic,social,38,15,54,68,mobile,high_school,0
53,60878.07,22,west,basic,organic,3,12,100,151,desktop,bachelors,0
51,46248.79,22,east,enterprise,paid,22,10,73,333,mobile,high_school,0
25,20557.15,2,east,premium,referral,24,0,49,149,desktop,phd,1
66,47333.73,27,east,premium,organic,17,16,30,115,tablet,bachelors,0
39,102733.44,18,west,basic,organic,15,18,17,30,mobile,masters,0
69,23377.51,32,south,enterprise,social,31,20,14,144,desktop,high_school,0
24,42325.78,7,west,basic,paid,23,7,7,83,desktop,bachelors,1
52,38851.78,23,south,premium,organic,18,4,92,69,desktop,bachelors,1
24,32253.35,5,north,basic,paid,25,13,1,48,mobile,phd,1
68,56883.11,35,east,premium,paid,21,0,87,231,tablet,bachelors,0
50,63958.08,17,west,premium,organic,14,1,58,259,tablet,bachelors,1
22,63557.24,0,west,basic,organic,28,17,62,271,desktop,high_school,0
29,27280.14,12,west,premium,paid,57,20,96,19,mobile,high_school,0
37,18258.93,14,east,basic,paid,31,8,79,337,desktop,bachelors,1
18,57378.97,0,east,premium,paid,36,10,14,185,mobile,bachelors,1
18,36186.76,2,west,premium,organic,60,11,97,205,desktop,high_school,0
67,147707.23,30,north,enterprise,referral,37,2,17,321,mobile,masters,1
70,151858.71,37,north,basic,referral,14,4,57,100,mobile,masters,0
46,161848.16,18,south,basic,paid,24,6,64,184,mobile,high_school,0
65,27887.49,28,east,basic,organic,30,17,24,25,desktop,bachelors,1
52,68983.42,24,east,basic,organic,29,9,63,180,desktop,high_school,0
19,82666.65,3,west,premium,social,9,15,64,97,desktop,bachelors,0
55,77266.25,23,north,basic,organic,7,4,98,66,mobile,high_school,0
18,39630.77,3,west,basic,paid,21,20,92,226,mobile,bachelors,0
61,105609.01,24,east,basic,referral,55,18,40,47,mobile,masters,0
37,49034.77,9,west,premium,referral,44,9,69,356,desktop,masters,1
25,52937.31,8,south,premium,social,51,4,82,85,mobile,high_school,0
31,19483.05,9,east,basic,paid,11,20,2,28,desktop,phd,1
54,72175.72,18,west,enterprise,social,25,16,69,163,mobile,high_school,0
62,41929.84,30,east,basic,organic,35,10,92,142,tablet,high_school,0
48,64787.46,17,north,premium,social,27,5,12,240,mobile,bachelors,0
26,56447.61,3,north,basic,organic,26,13,76,244,mobile,bachelors,1
65,54642.21,29,north,premium,social,22,7,6,216,mobile,masters,1
59,47694.52,25,south,basic,social,4,14,40,210,mobile,masters,1
39,78586.86,17,east,enterprise,referral,52,17,82,284,mobile,high_school,0
47,43506.45,17,east,premium,referral,56,10,99,238,desktop,phd,1
69,20473.4,31,east,premium,organic,5,1,73,51,desktop,high_school,0
38,68966.31,16,north,premium,paid,25,11,72,169,mobile,bachelors,1
19,30169.8,0,north,basic,organic,32,18,26,251,tablet,high_school,0
25,22146.68,0,west,basic,referral,48,4,83,97,mobile,phd,1
49,26546.52,21,west,enterprise,organic,60,20,66,316,desktop,high_school,0
70,58104.56,33,east,premium,organic,25,7,95,176,mobile,high_school,0
57,46262.58,26,east,basic,organic,45,14,60,117,mobile,bachelors,0
50,13634.93,17,west,basic,referral,57,14,3,139,desktop,phd,1
35,38941.14,11,west,basic,paid,50,3,51,226,mobile,masters,1
41,98867.79,16,east,premium,paid,18,0,78,259,mobile,masters,1
20,37392.39,3,south,premium,organic,50,19,79,93,desktop,masters,1
37,44387.54,14,north,premium,paid,25,14,39,62,desktop,masters,1
51,91655.74,26,east,basic,paid,2,13,17,33,tablet,bachelors,1
66,79007.14,31,south,enterprise,organic,46,6,87,181,desktop,high_school,0
66,90495.07,30,north,basic,referral,51,2,83,339,mobile,masters,1
61,9287.9,27,north,basic,paid,21,5,88,351,desktop,bachelors,1
19,138706.27,0,west,enterprise,social,28,11,67,204,desktop,bachelors,1
60,71814.4,25,north,premium,organic,22,14,83,194,mobile,high_school,0
29,214676.14,9,west,premium,paid,8,6,40,184,mobile,masters,0
50,30656.63,18,west,enterprise,social,60,4,78,86,desktop,high_school,0
68,17016.35,35,east,basic,social,2,5,49,152,desktop,phd,1
65,49233.57,33,north,basic,paid,34,20,80,342,mobile,high_school,0
53,41555.14,27,west,basic,organic,1,13,14,225,desktop,high_school,0
33,72562.13,5,east,basic,paid,42,20,29,89,mobile,masters,1
45,93428.99,15,south,premium,paid,55,0,21,32,mobile,high_school,0
55,46519.34,27,east,premium,organic,39,9,41,274,desktop,high_school,0
45,42428.48,16,north,basic,organic,37,9,82,330,mobile,bachelors,1
39,67079.37,15,east,premium,paid,50,8,11,40,mobile,masters,1
39,42032.68,16,west,basic,organic,59,8,73,137,desktop,high_school,0
49,39975.05,24,east,basic,social,52,1,83,311,mobile,high_school,0
19,91334.23,0,west,basic,organic,14,0,67,92,tablet,masters,1
70,104387.66,30,south,premium,social,34,16,65,66,tablet,phd,1
23,93937.01,3,west,basic,paid,50,9,13,144,desktop,bachelors,1
70,44314.28,33,west,enterprise,social,18,3,61,144,desktop,high_school,0
19,13576.92,4,north,enterprise,referral,41,7,22,176,tablet,high_school,0
45,44849.89,12,west,premium,organic,2,19,24,353,desktop,high_school,0
40,31107.74,11,west,premium,organic,53,9,87,355,desktop,high_school,0
48,45349.98,24,south,premium,organic,37,20,62,212,mobile,bachelors,1
40,32772.51,15,west,enterprise,referral,45,3,100,27,desktop,high_school,0
65,48414.57,32,north,premium,organic,50,2,45,96,mobile,bachelors,1
18,26276.61,0,north,basic,referral,14,11,36,66,mobile,bachelors,1
70,22732.92,34,north,basic,social,28,14,100,0,desktop,bachelors,1
54,102090.49,22,south,premium,paid,52,20,62,140,mobile,high_school,0
59,27397.46,29,north,basic,referral,10,9,87,2,mobile,masters,0
25,49030.56,0,north,premium,social,50,4,4,210,desktop,masters,1
21,86917.0,0,west,enterprise,referral,18,11,53,100,mobile,masters,1
39,84845.1,15,south,basic,organic,35,6,82,265,tablet,high_school,0
35,78976.76,12,west,basic,organic,31,3,81,192,tablet,high_school,0
59,58789.58,30,north,basic,paid,42,1,72,347,desktop,phd,1
65,75690.05,33,north,basic,organic,51,15,16,177,mobile,bachelors,1
40,111731.38,9,west,premium,paid,21,13,55,57,desktop,high_school,0
58,63260.32,21,south,basic,social,11,3,10,337,mobile,bachelors,1
21,16279.77,0,south,basic,paid,26,11,80,113,desktop,bachelors,0
57,35699.08,30,west,premium,organic,37,18,63,279,mobile,phd,1
23,74445.46,3,south,basic,organic,46,17,19,286,mobile,high_school,0
53,33649.13,26,south,basic,social,46,9,73,338,mobile,phd,1
38,129581.29,8,east,basic,organic,21,1,72,234,tablet,high_school,0
40,47197.31,19,north,premium,organic,57,13,5,187,mobile,bachelors,1
32,51593.41,4,east,basic,paid,5,10,9,140,mobile,bachelors,1
39,96263.69,16,south,basic,paid,8,19,20,163,mobile,high_school,0
64,43927.25,33,north,basic,paid,2,11,7,285,desktop,high_school,0
60,54489.66,25,south,premium,paid,56,15,54,207,tablet,bachelors,1
36,84075.8,9,south,premium,paid,11,11,88,17,mobile,phd,0
33,20264.74,10,east,basic,organic,37,11,6,136,mobile,bachelors,0
44,41308.4,18,west,premium,paid,49,6,62,334,mobile,phd,1
54,80619.19,19,west,premium,referral,47,8,42,77,desktop,masters,1
27,50988.74,2,south,enterprise,paid,57,6,84,172,desktop,bachelors,1
56,118231.55,27,west,premium,social,4,9,48,306,desktop,masters,1
68,19042.83,35,west,premium,organic,25,19,67,106,desktop,high_school,0
62,17783.01,24,north,basic,paid,31,7,93,249,mobile,high_school,0
47,77793.4,22,north,basic,referral,42,9,13,287,tablet,masters,1
34,82411.83,14,north,enterprise,paid,38,19,31,119,desktop,masters,0
35,43653.99,15,north,basic,organic,34,3,27,327,desktop,high_school,0
57,62332.4,22,south,basic,paid,19,5,17,163,mobile,bachelors,0
42,76659.15,17,south,premium,social,7,10,65,108,desktop,bachelors,0
23,30081.99,0,west,enterprise,paid,26,8,0,82,desktop,masters,0
53,32076.89,19,south,basic,organic,16,7,38,97,mobile,bachelors,0
25,54931.14,0,north,enterprise,organic,34,16,12,205,mobile,bachelors,1
70,84326.66,33,west,basic,paid,48,10,62,82,desktop,bachelors,1
40,24353.38,16,east,enterprise,organic,34,7,75,131,desktop,bachelors,0
36,43531.12,8,north,enterprise,social,35,10,47,260,mobile,bachelors,1
20,42338.75,0,north,premium,social,3,18,44,320,tablet,masters,1
26,62992.78,3,east,enterprise,social,39,20,45,248,mobile,bachelors,0
68,48765.63,29,south,enterprise,paid,27,5,20,193,mobile,high_school,0
46,35329.37,22,east,enterprise,paid,8,0,37,254,mobile,high_school,0
65,103687.77,26,west,premium,paid,13,0,94,150,desktop,masters,1
68,35470.11,30,east,basic,organic,47,9,4,99,mobile,masters,0
20,41140.25,0,west,basic,paid,56,13,79,274,desktop,high_school,0
38,18865.71,10,east,basic,organic,31,1,16,49,mobile,high_school,0
62,31946.71,33,east,premium,organic,59,10,11,331,mobile,bachelors,1
44,66812.51,13,north,basic,social,11,8,28,156,mobile,high_school,0
44,59418.52,16,south,enterprise,referral,18,19,27,299,mobile,masters,1
48,70242.6,20,south,basic,social,56,12,31,36,mobile,high_school,0
55,68226.57,21,east,basic,paid,11,8,85,181,mobile,high_school,0
67,171549.72,31,south,basic,social,40,12,91,154,mobile,phd,1
65,31297.22,26,east,basic,paid,14,2,69,130,desktop,high_school,0
51,18552.24,21,south,basic,organic,20,9,14,187,tablet,high_school,0
48,26099.42,14,east,premium,paid,29,6,95,242,desktop,high_school,0
37,32138.47,11,south,basic,paid,22,3,85,344,mobile,high_school,0
24,27320.81,2,west,premium,paid,53,8,7,298,mobile,high_school,0
55,51854.47,22,south,basic,referral,59,13,39,84,mobile,high_school,0
18,103942.48,0,east,premium,paid,31,12,78,358,desktop,high_school,0
55,123475.18,29,east,premium,social,32,20,9,182,mobile,high_school,0
44,66342.44,11,south,basic,organic,4,5,7,167,tablet,bachelors,1
59,177151.99,22,west,basic,referral,15,14,61,4,mobile,bachelors,0
68,39583.84,28,west,premium,social,3,11,34,244,desktop,bachelors,1
47,18407.04,23,west,premium,paid,52,18,44,324,desktop,high_school,0
48,92217.65,17,west,basic,social,14,19,75,107,mobile,bachelors,1
43,16266.18,15,south,premium,referral,21,14,55,317,mobile,masters,1
37,31163.36,15,west,basic,organic,51,8,71,32,mobile,masters,1
22,66974.51,0,west,basic,referral,43,11,12,353,desktop,high_school,0
19,46100.13,0,west,basic,referral,38,13,0,92,tablet,high_school,0
56,43714.2,21,west,premium,organic,3,16,25,176,mobile,high_school,0
66,24137.6,33,east,basic,paid,34,4,20,5,mobile,high_school,0
20,48704.1,6,east,premium,organic,34,18,32,328,mobile,bachelors,1
35,89518.22,12,east,basic,organic,20,16,78,186,mobile,bachelors,0
50,49611.64,24,south,basic,social,45,1,15,355,tablet,high_school,0
55,29788.11,28,east,basic,social,56,5,12,136,mobile,bachelors,1
56,23190.01,22,south,basic,referral,16,4,20,21,mobile,bachelors,1
54,30159.14,20,east,premium,paid,20,12,32,248,desktop,high_school,0
22,62031.66,0,east,premium,paid,20,4,19,59,mobile,masters,1
31,60244.19,11,south,basic,organic,51,6,18,225,mobile,high_school,0
42,30324.03,17,north,basic,paid,5,3,58,12,mobile,phd,1
21,13010.92,5,south,basic,referral,54,1,11,61,desktop,high_school,0
36,63070.45,11,east,enterprise,paid,47,9,15,233,tablet,masters,0
38,28606.11,18,south,premium,paid,30,6,84,246,tablet,phd,1
69,74119.76,37,north,premium,organic,36,10,1,55,desktop,phd,1
34,31142.67,13,south,basic,social,54,4,6,68,desktop,masters,1
69,27099.21,36,south,premium,organic,47,6,7,314,desktop,masters,1
55,53739.48,20,north,premium,paid,17,18,54,2,mobile,bachelors,0
54,201716.7,26,south,premium,paid,4,16,70,84,mobile,masters,0
61,76835.19,32,east,basic,paid,40,5,69,355,mobile,high_school,0
62,53195.63,26,east,basic,paid,9,3,69,200,mobile,bachelors,0
29,60797.92,10,west,basic,referral,6,20,5,9,tablet,bachelors,0
40,17142.75,12,north,enterprise,paid,59,14,34,326,desktop,masters,1
45,24999.12,14,south,basic,organic,29,10,63,125,tablet,bachelors,0
69,10866.53,36,north,premium,social,40,14,68,261,mobile,bachelors,1
20,138402.91,0,east,enterprise,referral,14,4,33,233,mobile,bachelors,1
43,122569.27,16,north,premium,social,7,8,85,134,tablet,high_school,0
29,62049.71,12,north,basic,organic,4,8,84,135,mobile,high_school,0
28,53160.4,2,east,basic,social,22,15,77,201,desktop,bachelors,0
58,19322.9,22,south,premium,referral,1,3,80,139,mobile,bachelors,0
28,42976.99,11,east,enterprise,paid,26,10,98,63,tablet,high_school,0
60,143693.11,30,east,enterprise,organic,20,17,80,264,mobile,bachelors,0
70,53042.54,33,west,basic,organic,32,4,59,246,tablet,bachelors,1
59,34933.87,25,south,enterprise,social,36,2,40,220,mobile,high_school,0
27,17071.36,10,south,basic,paid,19,17,36,271,mobile,bachelors,0
25,112216.29,6,east,premium,referral,28,18,83,189,desktop,bachelors,0
41,47002.2,18,north,basic,referral,5,9,29,339,mobile,high_school,0
47,17085.06,14,north,basic,referral,19,0,63,324,mobile,phd,1
59,28153.88,26,south,premium,paid,59,11,50,359,desktop,phd,1
40,22776.33,16,north,basic,social,60,6,38,39,mobile,bachelors,1
26,45295.09,0,north,enterprise,organic,30,12,45,37,mobile,high_school,0
70,55514.71,33,east,basic,social,57,2,8,171,mobile,bachelors,1
65,36245.47,25,west,enterprise,paid,31,16,71,253,desktop,masters,1
52,78137.7,26,north,basic,organic,8,14,6,87,mobile,bachelors,1
54,51394.24,25,east,basic,paid,53,13,7,42,desktop,masters,1
67,92724.45,28,west,basic,referral,25,10,25,13,desktop,bachelors,1
43,39564.34,16,south,premium,referral,37,4,53,203,mobile,bachelors,0
25,304734.25,0,east,premium,organic,39,19,30,358,desktop,high_school,0
50,34937.18,23,north,basic,organic,19,5,88,170,desktop,masters,1
41,28509.77,11,west,basic,referral,45,7,93,268,desktop,high_school,0
60,26481.98,28,north,basic,organic,31,19,39,18,mobile,bachelors,0
58,43193.08,21,south,premium,organic,22,0,100,79,desktop,masters,1
42,17470.66,11,west,premium,referral,18,2,8,249,mobile,high_school,0
37,58497.41,17,east,premium,paid,45,15,14,147,mobile,bachelors,0
40,15627.97,13,north,basic,organic,15,7,35,9,mobile,high_school,0
51,54014.22,17,west,basic,paid,8,12,95,82,tablet,masters,0
51,21790.93,23,west,basic,paid,53,12,50,290,mobile,high_school,0
45,38996.37,14,south,enterprise,referral,20,17,71,250,desktop,phd,1
46,70454.63,19,north,premium,organic,39,13,65,296,mobile,high_school,0
70,195325.49,36,south,basic,paid,43,8,50,128,mobile,phd,1
31,25673.12,10,west,premium,paid,51,11,94,339,mobile,masters,1
27,44793.11,2,north,premium,paid,38,15,96,336,mobile,bachelors,1
60,31753.07,24,south,basic,organic,43,7,45,134,desktop,masters,1
67,29087.91,28,north,basic,organic,51,3,72,75,desktop,masters,1
50,31920.89,21,north,premium,referral,57,10,63,352,mobile,phd,1
39,80373.51,15,east,premium,organic,3,20,59,128,mobile,high_school,0
36,36576.69,11,south,basic,social,45,2,10,181,mobile,bachelors,1
42,189016.13,14,north,basic,social,11,3,21,341,desktop,high_school,0
20,62918.0,0,north,basic,paid,54,20,99,98,mobile,bachelors,1
46,26742.08,22,north,premium,referral,3,17,24,323,tablet,high_school,0
32,39339.21,11,north,basic,referral,15,2,65,58,mobile,bachelors,0
32,30299.66,11,north,basic,organic,12,4,92,107,mobile,bachelors,1
47,79224.53,14,east,basic,paid,37,14,60,142,desktop,bachelors,0
69,18338.03,31,north,enterprise,social,1,16,21,176,desktop,bachelors,1
28,21926.02,4,south,basic,organic,2,15,86,89,mobile,masters,0
66,34374.57,32,east,basic,paid,31,18,3,323,mobile,masters,1
45,73848.29,20,east,basic,paid,59,10,73,243,mobile,bachelors,1
69,102727.61,37,east,premium,organic,32,18,26,245,mobile,bachelors,1
38,112232.21,13,west,enterprise,paid,27,12,64,267,desktop,phd,1
70,67365.0,32,south,enterprise,social,40,9,48,233,desktop,high_school,0
52,46642.45,21,north,basic,organic,34,13,57,235,mobile,high_school,0
53,78966.22,25,north,basic,organic,24,9,38,241,mobile,high_school,0
47,24668.92,16,north,basic,organic,36,12,53,263,desktop,bachelors,0
41,16207.12,13,west,premium,referral,1,17,94,337,desktop,bachelors,0
45,63702.72,20,east,premium,paid,15,20,83,71,desktop,masters,1
63,26811.68,29,west,basic,paid,41,12,42,189,desktop,bachelors,1
59,47137.11,26,west,premium,referral,21,0,95,67,mobile,high_school,0
19,52668.68,3,west,basic,social,4,13,89,66,desktop,masters,1
54,56889.82,21,south,premium,organic,8,5,63,347,mobile,masters,1
62,86049.24,23,west,basic,social,52,4,60,173,desktop,high_school,0
57,80760.65,28,south,basic,paid,20,18,3,257,mobile,bachelors,1
44,55105.24,16,north,basic,organic,2,9,52,266,desktop,high_school,0
35,37601.18,9,east,basic,organic,44,16,21,11,mobile,high_school,0
53,52295.06,18,west,basic,paid,32,7,16,180,mobile,high_school,0
53,34278.5,27,west,premium,social,28,12,86,65,mobile,phd,1
37,43570.81,14,south,premium,paid,54,13,27,114,desktop,bachelors,1
39,235838.86,11,west,premium,referral,19,18,62,68,desktop,bachelors,0
37,54683.31,13,south,basic,organic,35,4,87,243,mobile,masters,1
20,64224.95,1,east,enterprise,organic,45,11,60,48,mobile,bachelors,1
19,32103.22,0,south,enterprise,social,37,8,78,164,mobile,phd,1
22,90404.02,0,north,premium,social,13,9,78,111,desktop,masters,1
40,77355.23,9,south,premium,paid,41,17,45,352,desktop,bachelors,1
45,77684.54,22,west,premium,organic,45,2,93,288,desktop,bachelors,0
39,55766.84,18,west,premium,organic,8,11,91,128,desktop,phd,1
68,91173.0,36,south,basic,social,10,8,34,107,desktop,masters,1
29,105136.11,5,north,premium,organic,41,18,82,262,mobile,phd,1
38,58096.42,18,north,basic,organic,8,4,18,231,desktop,high_school,0
31,45763.06,6,west,premium,referral,53,4,11,203,mobile,masters,1
33,83846.46,13,east,premium,social,7,1,53,26,desktop,bachelors,1
48,28496.17,15,east,enterprise,organic,59,9,61,28,desktop,high_school,0
34,31863.74,8,north,basic,referral,41,0,58,232,tablet,bachelors,1
34,47477.91,11,north,premium,paid,27,10,80,171,mobile,bachelors,1
